program_id	g_ERP	g_GSE	mean_g	min_g	both_positive	both_ge_corresponding_AF35
RANDOM_1642	0.458329871396061	0.212594734599603	0.33546230299783203	0.212594734599603	True	False
RANDOM_1643	0.30162962291103	0.140584070648831	0.2211068467799305	0.140584070648831	True	False
RANDOM_1644	0.346931228936049	0.035014040173041	0.190972634554545	0.035014040173041	True	False
RANDOM_1645	0.396340002525342	-0.0073395889153087	0.19450020680501665	-0.0073395889153087	False	False
RANDOM_1646	-0.0730305143072062	0.0944364994183544	0.010702992555574102	-0.0730305143072062	False	False
RANDOM_1647	0.510063662029439	0.362303445940128	0.4361835539847835	0.362303445940128	True	False
RANDOM_1648	0.0893403181958117	0.240207960727782	0.16477413946179686	0.0893403181958117	True	False
RANDOM_1649	0.0340126281259753	0.43596129085852	0.23498695949224763	0.0340126281259753	True	False
RANDOM_1650	-0.186674556063854	0.142204070305163	-0.0222352428793455	-0.186674556063854	False	False
RANDOM_1651	0.202438807616585	-0.0622373550128887	0.07010072630184816	-0.0622373550128887	False	False
RANDOM_1652	-0.0099418096368175	0.0335642556768438	0.01181122302001315	-0.0099418096368175	False	False
RANDOM_1653	0.595584796771129	0.345873288885195	0.47072904282816197	0.345873288885195	True	False
RANDOM_1654	-0.0176342430366052	0.127980658971966	0.0551732079676804	-0.0176342430366052	False	False
RANDOM_1655	0.0602235644501612	0.244507210607719	0.1523653875289401	0.0602235644501612	True	False
RANDOM_1656	0.723176830542437	-0.009657449045993	0.356759690748222	-0.009657449045993	False	False
RANDOM_1657	0.417650070802581	0.514127704126642	0.4658888874646115	0.417650070802581	True	False
RANDOM_1658	0.141047923670157	0.0397450861883636	0.0903965049292603	0.0397450861883636	True	False
RANDOM_1659	-0.153440242221857	0.245587025867549	0.04607339182284599	-0.153440242221857	False	False
RANDOM_1660	0.29862167432531	0.252689084849232	0.27565537958727104	0.252689084849232	True	False
RANDOM_1661	0.373118992842856	-0.170048009979281	0.1015354914317875	-0.170048009979281	False	False
RANDOM_1662	0.0681444157628915	0.0864382713223723	0.0772913435426319	0.0681444157628915	True	False
RANDOM_1663	0.437967849691116	-0.199170994516307	0.11939842758740452	-0.199170994516307	False	False
RANDOM_1664	0.140695753788082	0.291658151693571	0.2161769527408265	0.140695753788082	True	False
RANDOM_1665	0.104982226126663	-0.123655688236474	-0.009336731054905505	-0.123655688236474	False	False
RANDOM_1666	0.306430999338819	0.112329416367353	0.209380207853086	0.112329416367353	True	False
RANDOM_1667	-0.564616199265314	0.262826714331789	-0.15089474246676252	-0.564616199265314	False	False
RANDOM_1668	0.277982299652529	0.226439359310012	0.2522108294812705	0.226439359310012	True	False
RANDOM_1669	0.247405176532336	0.0824564458909736	0.16493081121165482	0.0824564458909736	True	False
RANDOM_1670	0.0910524072210216	0.226895811838049	0.1589741095295353	0.0910524072210216	True	False
RANDOM_1671	0.0444161887695901	-0.0122671178514031	0.0160745354590935	-0.0122671178514031	False	False
RANDOM_1672	0.568468211376985	0.132803122535414	0.3506356669561995	0.132803122535414	True	False
RANDOM_1673	-0.125427570806187	0.254286093062452	0.06442926112813249	-0.125427570806187	False	False
RANDOM_1674	0.0549099222636796	0.18712360660047	0.1210167644320748	0.0549099222636796	True	False
RANDOM_1675	-0.171323938799659	0.0274974080678447	-0.07191326536590714	-0.171323938799659	False	False
RANDOM_1676	0.0206235067026669	0.045636010852878	0.03312975877777245	0.0206235067026669	True	False
RANDOM_1677	0.299386681509968	-0.122727533136817	0.0883295741865755	-0.122727533136817	False	False
RANDOM_1678	0.492022608837313	0.312160941700815	0.40209177526906403	0.312160941700815	True	False
RANDOM_1679	0.345535675938275	0.228208240337442	0.2868719581378585	0.228208240337442	True	False
RANDOM_1680	0.236608267572026	0.359416767397911	0.2980125174849685	0.236608267572026	True	False
RANDOM_1681	-0.104658067191838	0.0411574859256295	-0.03175029063310425	-0.104658067191838	False	False
RANDOM_1682	-0.231651529766215	0.200063250314328	-0.0157941397259435	-0.231651529766215	False	False
RANDOM_1683	0.216467276653546	0.0985363585009219	0.15750181757723397	0.0985363585009219	True	False
RANDOM_1684	0.474762759084902	0.133955854175021	0.3043593066299615	0.133955854175021	True	False
RANDOM_1685	0.59793811680682	0.220095259321391	0.4090166880641055	0.220095259321391	True	False
RANDOM_1686	0.0065031688566717	0.195556572279659	0.10102987056816536	0.0065031688566717	True	False
RANDOM_1687	0.335073922912506	0.241671919889642	0.288372921401074	0.241671919889642	True	False
RANDOM_1688	0.603149008048949	0.226840043943103	0.414994525996026	0.226840043943103	True	False
RANDOM_1689	-0.170429417390952	-0.237786327443736	-0.20410787241734402	-0.237786327443736	False	False
RANDOM_1690	-0.0607326272885541	0.205426688416343	0.07234703056389445	-0.0607326272885541	False	False
RANDOM_1691	0.393839856424397	0.100970742590983	0.24740529950769	0.100970742590983	True	False
RANDOM_1692	0.3401576912302	0.382967296865619	0.3615624940479095	0.3401576912302	True	False
RANDOM_1693	-0.136438000164409	0.0089604836602968	-0.06373875825205609	-0.136438000164409	False	False
RANDOM_1694	-0.0666969882985088	0.0005184676998793	-0.03308926029931475	-0.0666969882985088	False	False
RANDOM_1695	0.126169631528654	-0.0545014658662264	0.03583408283121381	-0.0545014658662264	False	False
RANDOM_1696	0.474842350973718	-0.0089710400867585	0.23293565544347977	-0.0089710400867585	False	False
RANDOM_1697	0.0211440667708503	0.154366275663968	0.08775517121740914	0.0211440667708503	True	False
RANDOM_1698	0.296547472580877	0.160152305767398	0.2283498891741375	0.160152305767398	True	False
RANDOM_1699	0.181214686006747	-0.14754175367405	0.0168364661663485	-0.14754175367405	False	False
