scope	released_state	patient_n	mean_frozen_AF35	median_frozen_AF35	cell_n
pre_T	CD4_C08_FOXP3	6	-0.1464418419944492	-0.1446334548869719	88
pre_T	CD8_C05_CCR7	4	-0.07179426568073691	-0.08062872582032708	66
pre_T	CD8_C04_GIMAP4	3	-0.17894994296898473	-0.1982207095996249	10
pre_T	CD4_C09_MKI67	6	0.06623498357118111	0.0400342695040561	80
pre_T	CD4_C02_IL7R	6	-0.2785063542878994	-0.2337618692034682	45
pre_T	CD4_C05_GNLY	4	0.16537776036997276	0.13518145736401593	13
pre_T	CD8_C06_IKZF2	2	0.09161716925611259	0.09161716925611259	2
pre_T	CD8_C02_GPR183	5	-0.20495210006993378	-0.19556064055722552	18
post_P	CD4_C05_GNLY	9	0.1278453180986123	0.1308669574617781	448
post_P	CD8_C03_CX3CR1	9	0.20814002026906536	0.25767525180761663	4549
post_P	CD4_C01_CCR7	9	-0.14693749272422738	-0.13388874873819792	4048
post_P	CD8_C08_GZMK	9	0.1116662835319708	0.11455306561407937	520
post_P	CD8_C01_LEF1	9	-0.16467647125305945	-0.1555730565877525	2203
post_P	CD8_C02_GPR183	7	-0.11225675950972026	-0.10459188537474302	266
post_P	CD4_C03_CD44	8	-0.10161085145129164	-0.09028732065980591	881
post_P	CD4_C02_IL7R	9	-0.13748263361008253	-0.11169258401642865	915
post_P	CD8_C06_IKZF2	7	0.2638793999635747	0.28698306311142424	501
post_P	CD4_C04_GZMK	8	-0.04023015520081509	-0.046149077899730793	649
post_P	CD4_C08_FOXP3	9	0.013031169383042543	0.009948454430087732	862
post_P	CD8_C04_GIMAP4	7	0.15681636096975474	0.11297726768191689	746
post_P	CD8_C09_LAYN	8	0.2739672586773084	0.3241019164578055	29
post_P	CD8_C05_CCR7	7	-0.019196431864762626	0.005829943116596696	190
post_P	CD8_C10_SLC4A10	9	0.05060002511762518	0.047195781300649595	237
post_P	CD4_C06_CXCL13	7	0.14477198049489245	0.17591185077607147	21
post_P	CD4_C07_CTLA4	7	0.11371690184709557	0.11569794888610252	19
post_P	CD8_C07_KIR2DL4	4	-0.033825887511916786	0.07462339965367483	10
post_P	CD4_C09_MKI67	5	0.20028249483950122	0.1995538263986943	13
post_P	CD8_C11_MKI67	4	0.02457864634904175	0.05441979189989876	4
post_T	CD4_C07_CTLA4	8	0.03688175093940229	0.0500859004499304	2929
post_T	CD4_C04_GZMK	8	-0.028012799375843122	-0.02710186636564705	4657
post_T	CD4_C09_MKI67	7	0.09560857836382078	0.06761059049627174	184
post_T	CD4_C05_GNLY	7	0.07664274008624695	0.10895392971295607	73
post_T	CD8_C03_CX3CR1	8	0.19117076192909452	0.17841466729453098	349
post_T	CD8_C08_GZMK	8	0.09980274751472906	0.0890175739739826	4201
post_T	CD4_C03_CD44	8	-0.10429034956732856	-0.09400155468010304	1396
post_T	CD8_C10_SLC4A10	8	0.05323824035605622	0.05312838339496489	1105
post_T	CD8_C07_KIR2DL4	8	0.09353982119783842	0.08626366191343646	424
post_T	CD8_C11_MKI67	8	0.24905074267806507	0.22053137789884558	78
post_T	CD4_C01_CCR7	8	-0.16679753586036425	-0.15011182838907577	347
post_T	CD8_C09_LAYN	8	0.2468164157949217	0.24991201100267413	1259
post_T	CD4_C06_CXCL13	8	0.04247118620484798	0.052813450497848344	940
post_T	CD8_C05_CCR7	8	-0.011005449861489401	-0.039526381592005014	200
post_T	CD4_C02_IL7R	8	-0.1555142145635255	-0.18320835483897396	98
post_T	CD8_C04_GIMAP4	8	0.042227774800954465	0.007983347291739938	51
post_T	CD4_C08_FOXP3	8	-0.07996119734887015	-0.08841194199701763	123
post_T	CD8_C02_GPR183	7	-0.05237985610410346	-0.03879125262154687	39
