gene	CD3D	CD3E	CD3G	CD247	LCK	FYN	ZAP70	LAT	LCP2	TRAT1	NFKB1	REL	RELA	NFKBIA	TNFAIP3	STAT1	IRF1	IFIT1	IFIT2	IFIT3	ISG15	MX1	OAS1	CXCL9	CXCL10	IFNG	TNF	CCL5	NKG7	PRF1	GZMB	PDCD1	LAG3	TIGIT	TOX
NFKB1	0.32885154061624655	0.40504201680672275	0.4159663865546219	0.2994397759103642	0.43641456582633054	0.3943977591036415	0.3072829131652662	0.36078431372549025	0.37310924369747905	0.18516702895748255	1.0	0.4126050420168067	0.415686274509804	0.5549019607843138	0.6092436974789917	0.18207282913165268	0.4011204481792717	0.21568627450980396	0.05602240896358543	0.17983193277310924	0.2081232492997199	0.3159663865546219	0.2568627450980392	0.29075630252100837	0.411484593837535	0.2513309148809952	0.3906097665479927	0.4120448179271709	0.31848739495798317	0.37647058823529417	0.4246498599439776	0.37142857142857144	0.17955182072829132	0.30952380952380953	0.37310924369747905
REL	0.2747899159663866	0.34397759103641457	0.28207282913165266	0.2859943977591036	0.22072829131652663	0.2235294117647059	0.22128851540616248	0.3072829131652662	0.31288515406162465	0.1987534145920331	0.4126050420168067	1.0	0.29971988795518206	0.21904761904761905	0.3733893557422969	0.29691876750700286	0.16022408963585436	-0.005602240896358544	0.014005602240896357	-0.10588235294117648	-0.061064425770308135	0.2627450980392157	0.14817927170868347	0.2420168067226891	0.1568627450980392	0.3188568351555992	0.3847232899799928	0.23949579831932774	0.14537815126050418	0.31064425770308124	0.40952380952380957	0.37142857142857144	0.37927170868347343	0.2092436974789916	0.2949579831932773
RELA	0.1008403361344538	-0.04397759103641457	-0.05434173669467787	0.11344537815126052	0.050700280112044825	0.16806722689075632	0.18795518207282913	0.22016806722689075	-0.012605042016806725	-0.27999159673676827	0.415686274509804	0.29971988795518206	1.0	0.39159663865546224	0.3204481792717087	-0.12633053221288518	0.09523809523809525	0.028011204481792715	-0.02997198879551821	0.07226890756302522	-0.1512605042016807	0.055462184873949584	-0.11568627450980393	0.025770308123249302	0.12829131652661066	-0.05407677432779495	0.07161879824399865	0.06442577030812326	-0.17955182072829132	0.030532212885154068	0.03613445378151261	0.23249299719887956	0.0392156862745098	-0.08347338935574229	-0.2081232492997199
NFKBIA	0.3509803921568628	0.3733893557422969	0.33109243697478996	0.4932773109243698	0.42044817927170874	0.4277310924369748	0.48655462184873954	0.4484593837535014	0.4288515406162466	0.07815673385648658	0.5549019607843138	0.21904761904761905	0.39159663865546224	1.0	0.5350140056022409	0.1753501400560224	0.5084033613445378	0.234733893557423	0.2285714285714286	0.2669467787114846	0.07394957983193277	0.0473389355742297	0.2016806722689076	0.2649859943977591	0.41036414565826335	0.24600729461038326	0.482550924371991	0.4092436974789916	0.36050420168067226	0.42072829131652667	0.2736694677871148	0.4170868347338936	0.4728291316526611	0.2803921568627451	0.25350140056022413
TNFAIP3	0.5840336134453782	0.6605042016806724	0.62296918767507	0.44817927170868344	0.6408963585434174	0.5425770308123249	0.46834733893557423	0.48627450980392156	0.6658263305322129	0.44695006762732736	0.6092436974789917	0.3733893557422969	0.3204481792717087	0.5350140056022409	1.0	0.4504201680672269	0.6703081232492997	0.2246498599439776	0.34201680672268914	0.3226890756302521	0.3478991596638656	0.31652661064425774	0.2518207282913165	0.5736694677871148	0.7549019607843138	0.547492316251354	0.7136652067679865	0.6011204481792718	0.465546218487395	0.484873949579832	0.31624649859943976	0.5806722689075631	0.3778711484593838	0.5714285714285715	0.5005602240896359
STAT1	0.8591036414565827	0.8260504201680673	0.8243697478991598	0.6997198879551821	0.7232492997198879	0.5840336134453782	0.5599439775910364	0.5008403361344538	0.7663865546218488	0.7284823885082199	0.18207282913165268	0.29691876750700286	-0.12633053221288518	0.1753501400560224	0.4504201680672269	1.0	0.7033613445378152	0.11036414565826332	0.25602240896358547	0.357703081232493	0.43501400560224085	0.34425770308123255	0.27450980392156865	0.7820728291316525	0.6481792717086836	0.7878958000505668	0.742256664383986	0.8330532212885153	0.6341736694677872	0.7204481792717087	0.7296918767507002	0.5030812324929972	0.36246498599439775	0.8221288515406163	0.7092436974789916
IRF1	0.7826330532212885	0.8366946778711486	0.7627450980392159	0.7792717086834735	0.757983193277311	0.5028011204481793	0.5887955182072829	0.5198879551820729	0.700560224089636	0.6986483664447224	0.4011204481792717	0.16022408963585436	0.09523809523809525	0.5084033613445378	0.6703081232492997	0.7033613445378152	1.0	0.06526610644257703	0.2235294117647059	0.44145658263305326	0.3843137254901961	0.2868347338935574	0.4277310924369748	0.6876750700280113	0.7728291316526611	0.7394228365339423	0.7501052998079859	0.8280112044817927	0.6341736694677872	0.788795518207283	0.5543417366946779	0.6669467787114847	0.561624649859944	0.7498599439775911	0.7526610644257704
IFIT1	-0.031092436974789917	0.13613445378151262	0.05602240896358543	0.126890756302521	0.005882352941176471	0.06918767507002802	0.06274509803921569	0.048179271708683476	0.13025210084033612	0.04720218514271681	0.21568627450980396	-0.005602240896358544	0.028011204481792715	0.234733893557423	0.2246498599439776	0.11036414565826332	0.06526610644257703	1.0	0.7803921568627451	0.6977591036414567	0.4935574229691877	0.6319327731092438	0.42689075630252105	0.03781512605042017	0.11764705882352944	0.028859625677527874	0.07806589162799854	0.1700280112044818	0.10980392156862746	0.11036414565826332	0.18711484593837538	-0.16834733893557424	-0.07647058823529412	0.008123249299719889	0.10812324929971989
IFIT2	0.15630252100840336	0.3719887955182073	0.2957983193277311	0.23977591036414567	0.20840336134453782	0.20420168067226896	0.2873949579831933	0.17871148459383757	0.31484593837535013	0.3099656846315499	0.05602240896358543	0.014005602240896357	-0.02997198879551821	0.2285714285714286	0.34201680672268914	0.25602240896358547	0.2235294117647059	0.7803921568627451	1.0	0.7554621848739497	0.5523809523809524	0.43221288515406164	0.4714285714285714	0.23389355742296922	0.2882352941176471	0.13140936352194732	0.33342685131599376	0.3403361344537815	0.2705882352941177	0.21344537815126052	0.1403361344537815	0.038375350140056025	0.10728291316526611	0.2123249299719888	0.1829131652661065
IFIT3	0.2803921568627451	0.34621848739495803	0.33613445378151263	0.34369747899159664	0.3058823529411765	0.0565826330532213	0.27759103641456584	0.22829131652661064	0.22324929971988797	0.29091673157692227	0.17983193277310924	-0.10588235294117648	0.07226890756302522	0.2669467787114846	0.3226890756302521	0.357703081232493	0.44145658263305326	0.6977591036414567	0.7554621848739497	1.0	0.5750700280112045	0.6028011204481794	0.7179271708683473	0.2285714285714286	0.38963585434173675	0.1994956648776684	0.2859145761599946	0.3633053221288516	0.23109243697478996	0.27563025210084036	0.2204481792717087	0.21120448179271709	0.08739495798319327	0.29887955182072834	0.3336134453781513
