dataset	state	state_order	marker	marker_order	marker_block	n_patients	total_cells	patient_median_mean_log1p_cp10k	patient_q25_mean_log1p_cp10k	patient_q75_mean_log1p_cp10k	patient_median_positive_fraction	patient_q25_positive_fraction	patient_q75_positive_fraction	patient_median_pseudobulk_log2_cpm	aggregation	response_used_in_summary	biological_unit	within_marker_z
GSE206325	CD8_effector	2	PDCD1	13	Checkpoint_exhaustion	24	24553	0.41218968619163	0.324374669310116	0.541274927086009	0.259926271105295	0.204218515929292	0.341420807453416	6.85049614674979	unweighted median across eligible patient-state rows	FALSE	patient	-0.504030462772577
GSE206325	CD8_effector	2	HAVCR2	14	Checkpoint_exhaustion	24	24553	0.0854649290521479	0.0690226328700124	0.118175284213522	0.0512198092145322	0.0453780678705205	0.0887348969438522	4.72885459208711	unweighted median across eligible patient-state rows	FALSE	patient	-1.11615307008617
GSE206325	CD8_effector	2	LAG3	15	Checkpoint_exhaustion	24	24553	0.603209591207738	0.529979200586577	0.781105204710653	0.377316111770673	0.342749054224464	0.485383527748321	7.44862805659695	unweighted median across eligible patient-state rows	FALSE	patient	-0.43322913395703
GSE206325	CD8_effector	2	TIGIT	16	Checkpoint_exhaustion	24	24553	0.520431519945074	0.436766308132975	0.631421210080737	0.3343715393134	0.263308557653676	0.407336956521739	7.17517634519588	unweighted median across eligible patient-state rows	FALSE	patient	-1.07378947944708
GSE206325	CD8_effector	2	TOX	17	Checkpoint_exhaustion	24	24553	0.400129404754866	0.364487352987239	0.467123087860696	0.279442508710801	0.240189155107188	0.33377308707124	6.67465467501809	unweighted median across eligible patient-state rows	FALSE	patient	-0.98502820234247
GSE206325	CD8_effector	2	ENTPD1	18	Checkpoint_exhaustion	24	24553	0.025834217488857	0.0191215095752763	0.0616570252929604	0.0194979013225628	0.014017030269128	0.0460250259690558	2.82263863962904	unweighted median across eligible patient-state rows	FALSE	patient	-1.58702301426562
GSE206325	CD8_effector	2	CXCL13	19	Checkpoint_exhaustion	24	24553	0.122460106354309	0.0311717455521961	0.172570658764183	0.0555282292557742	0.0220427336215497	0.0826883026726831	5.76327289877676	unweighted median across eligible patient-state rows	FALSE	patient	-0.986184031185917
GSE206325	CD8_effector	2	LAYN	20	Checkpoint_exhaustion	24	24553	0.0174106863377118	0.00476922714664329	0.0270532269166994	0.00992853003670079	0.00293173752170958	0.0193377148634985	2.4676287532248	unweighted median across eligible patient-state rows	FALSE	patient	-0.837420304620957
GSE206325	CD8_effector	2	MKI67	21	Proliferation	24	24553	0.0149102650349652	0.00997109275833613	0.032968831613978	0.0111035541356761	0.00688030560271647	0.0193289158325109	2.08584445142625	unweighted median across eligible patient-state rows	FALSE	patient	-0.436476088482573
GSE206325	CD8_effector	2	TOP2A	22	Proliferation	24	24553	0.0345787154335831	0.0214145186875523	0.0512099688814146	0.0239820565907522	0.0167647261216625	0.0373952095808383	3.02009873029623	unweighted median across eligible patient-state rows	FALSE	patient	-0.413053971677089
GSE206325	CD8_effector	2	STMN1	23	Proliferation	24	24553	0.246479407617749	0.197573503105071	0.290804230594844	0.175959968343335	0.140262695281608	0.198229047072331	5.9540554305779	unweighted median across eligible patient-state rows	FALSE	patient	-0.471780367157664
GSE206325	CD8_effector	2	IL21	24	Tfh_support	24	24553	0.0056563454999854	0	0.00946656443589174	0.00403665251806814	0	0.00774293805649555	1.29215076329446	unweighted median across eligible patient-state rows	FALSE	patient	-0.831605039195019
