gene_i	gene_j	ERP117672	GSE302495
CD3E	CCL5	0.8907563025210085	0.828427617901302
CD3E	NKG7	0.6448179271708684	0.7128788707736077
CD3E	PRF1	0.7574229691876752	0.7636502899660794
CD3E	GZMB	0.6476190476190476	0.6861801072327387
CD3E	PDCD1	0.5946778711484594	0.4855016960280118
CD3E	LAG3	0.5296918767507003	0.6229346755662545
CD3E	TIGIT	0.8347338935574229	0.6371594266331109
CD3E	TOX	0.8204481792717087	0.39424444687602583
CD3G	CD247	0.6815126050420169	0.5892329576540103
CD3G	LCK	0.8260504201680673	0.5726009410219937
CD3G	FYN	0.7047619047619048	0.3830834883466462
CD3G	ZAP70	0.7137254901960784	0.5610022978444031
CD3G	LAT	0.6207282913165266	0.16398247974831623
CD3G	LCP2	0.8341736694677871	0.5329904803589013
CD3G	TRAT1	0.80327754241389	0.5612211401685085
CD3G	NFKB1	0.4159663865546219	0.34631797789692526
CD3G	REL	0.28207282913165266	0.4695262063683116
CD3G	RELA	-0.05434173669467787	-0.13272786956997482
CD3G	NFKBIA	0.33109243697478996	0.3104278367436262
CD3G	TNFAIP3	0.62296918767507	0.24433745486377065
CD3G	STAT1	0.8243697478991598	0.5364919575445891
CD3G	IRF1	0.7627450980392159	0.41569099463836306
CD3G	IFIT1	0.05602240896358543	0.22135901083269502
CD3G	IFIT2	0.2957983193277311	0.2193894299157457
CD3G	IFIT3	0.33613445378151263	0.46755662545136234
CD3G	ISG15	0.4535014005602241	0.30495677864098913
CD3G	MX1	0.20840336134453782	0.2955465587044534
CD3G	OAS1	0.32184873949579834	0.5122004595688806
CD3G	CXCL9	0.7859943977591036	0.519203413940256
CD3G	CXCL10	0.7467787114845938	0.495568442936864
CD3G	IFNG	0.7427851230206447	0.5844017089274856
CD3G	TNF	0.8665734433319837	0.5362731152204837
CD3G	CCL5	0.9002801120448181	0.5789473684210525
CD3G	NKG7	0.7535014005602241	0.5767589451799979
CD3G	PRF1	0.7515406162464986	0.6632016632016632
CD3G	GZMB	0.6837535014005603	0.6365028996607944
CD3G	PDCD1	0.588515406162465	0.42094321041689464
CD3G	LAG3	0.4098039215686275	0.555531239741766
CD3G	TIGIT	0.8686274509803922	0.6235912025385709
CD3G	TOX	0.7025210084033614	0.270379691432323
