released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD8_C01_LEF1	-0.166958748428	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.48071762012	-0.647168521725	-0.0411295173654
CD4_C01_CCR7	-0.64469696543	-0.647168521725	-0.352763613388
CD4_C03_CD44	-0.264395965409	-0.647168521725	-0.0881380179166
CD4_C05_GNLY	0.273290506763	0.703645183211	-0.352763613388
CD4_C05_GNLY	0.26804436205	0.165955871495	0.325672396115
CD4_C01_CCR7	0.306382344778	-0.647168521725	-0.352763613388
CD8_C10_SLC4A10	-0.091979641067	-0.260803895845	-0.175648847286
CD4_C01_CCR7	0.717304129192	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.188699921538	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	0.835024826321	-0.647168521725	0.588039974704
CD8_C01_LEF1	0.131136134901	-0.435261898908	-0.352763613388
CD4_C01_CCR7	-0.355420850894	-0.647168521725	-0.352763613388
CD8_C01_LEF1	0.0374248634233	-0.557461250205	-0.352763613388
CD4_C04_GZMK	-0.235068053702	-0.515021390097	-0.352763613388
CD8_C03_CX3CR1	0.285226181798	1.3780319683	-0.110830623414
CD8_C03_CX3CR1	0.208311833427	1.34984059853	-0.038333143433
CD8_C09_LAYN	0.317323107302	0.77188062628	-0.056559679338
CD8_C03_CX3CR1	-0.645710687654	1.17243734105	0.0637978420153
CD8_C02_GPR183	-0.629351888853	-0.523682339516	-0.352763613388
CD4_C01_CCR7	-0.226653523401	-0.647168521725	0.0946524912812
CD8_C03_CX3CR1	0.125830029269	1.24237540181	0.0229684643178
CD4_C08_FOXP3	0.21270220543	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.073653710859	-0.647168521725	0.187718239156
CD8_C05_CCR7	-0.11586504808	-0.585559091398	-0.188355051898
CD4_C01_CCR7	0.26936404598	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.000561002520073	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.114150950529	-0.647168521725	-0.225035257638
CD4_C01_CCR7	0.00829067940591	-0.531255209237	-0.352763613388
CD8_C08_GZMK	-0.409025475626	-0.163381316537	-0.352763613388
CD4_C08_FOXP3	-0.231965070537	-0.647168521725	0.496081985224
CD4_C01_CCR7	-0.372544827316	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.436298658326	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.121421274602	1.52982669947	-0.352763613388
CD4_C01_CCR7	-0.0533673035137	-0.647168521725	-0.123843573062
CD8_C03_CX3CR1	0.0135675375201	1.68800511427	-0.112863812178
CD8_C03_CX3CR1	0.0674553687977	1.38513037865	0.147906786051
CD4_C01_CCR7	0.539219840396	-0.647168521725	-0.188685506698
CD4_C04_GZMK	0.239688655739	-0.108497485671	0.178755874531
CD4_C08_FOXP3	0.293359277976	-0.647168521725	-0.0105437852642
CD8_C03_CX3CR1	-0.200247038716	1.26708003688	-0.352763613388
CD4_C01_CCR7	-0.269535690543	-0.428001974373	-0.352763613388
CD8_C05_CCR7	-0.2011994354	-0.242545367691	-0.352763613388
CD8_C01_LEF1	-0.446933207822	-0.53147381455	-0.352763613388
CD8_C03_CX3CR1	0.15891441643	1.23548009374	-0.182576665258
CD8_C03_CX3CR1	-0.525592103651	1.29463666103	0.516821901592
CD4_C01_CCR7	-0.237804952942	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.0951529044289	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.345100548375	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.139183689932	-0.567289750298	-0.245716735635
CD4_C01_CCR7	0.0860629160539	-0.647168521725	-0.352763613388
CD8_C03_CX3CR1	-0.210514656014	0.759720587604	-0.142200589674
CD8_C03_CX3CR1	0.314809850362	0.760356743493	-0.213615138945
CD4_C01_CCR7	-0.094789962636	-0.56515800135	-0.352763613388
CD4_C01_CCR7	-0.12328922082	-0.647168521725	-0.084089054286
CD4_C08_FOXP3	-0.0576491868426	-0.647168521725	0.175378529412
CD4_C05_GNLY	0.490240642569	0.749125765219	-0.352763613388
CD8_C01_LEF1	0.247730048843	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.064049750646	-0.489947354056	-0.120722478121
CD4_C01_CCR7	0.0280799680211	-0.647168521725	-0.352763613388
CD8_C01_LEF1	-0.776371468513	-0.647168521725	0.0126763162207
CD8_C01_LEF1	0.012733065534	-0.647168521725	0.389198843285
CD4_C08_FOXP3	0.271212256403	-0.647168521725	-0.00675015184445
CD8_C03_CX3CR1	-0.186383410723	0.977827452967	-0.086598593905
CD8_C06_IKZF2	0.256075493612	1.18486515498	-0.0803253580569
CD8_C06_IKZF2	0.405138981816	1.10168155099	0.0606171029069
CD4_C01_CCR7	0.18568893804	-0.647168521725	-0.352763613388
CD4_C01_CCR7	0.0120427956135	-0.647168521725	-0.168011653046
CD8_C03_CX3CR1	0.0716152001954	1.39724237686	-0.352763613388
CD8_C03_CX3CR1	0.292539696892	0.0728196817838	0.146706470028
