cohort	subset_id	retained_gene_count	retained_fraction	hedges_g	full_AF35_hedges_g	delta_g	absolute_delta_g	direction	score_rho	rho_population_n	omitted_gene	gene_rank
GSE302495	SINGLE_09	34	0.9714285714285714	0.7666468414267064	0.7515864101407033	0.015060431286003095	0.015060431286003095	POSITIVE	0.9982492614071562	38	LCP2	9
GSE302495	SINGLE_10	34	0.9714285714285714	0.768262625799008	0.7515864101407033	0.016676215658304683	0.016676215658304683	POSITIVE	0.9975927344348396	38	TRAT1	10
GSE302495	SINGLE_11	34	0.9714285714285714	0.7773060127640189	0.7515864101407033	0.02571960262331563	0.02571960262331563	POSITIVE	0.9964985228143123	38	NFKB1	11
GSE302495	SINGLE_12	34	0.9714285714285714	0.7859136869766223	0.7515864101407033	0.034327276835919074	0.034327276835919074	POSITIVE	0.9969362074625232	38	REL	12
GSE302495	SINGLE_13	34	0.9714285714285714	0.7454652948615164	0.7515864101407033	-0.006121115279186906	0.006121115279186906	POSITIVE	0.9969362074625232	38	RELA	13
GSE302495	SINGLE_14	34	0.9714285714285714	0.7719868431098731	0.7515864101407033	0.020400432969169824	0.020400432969169824	POSITIVE	0.994966626545574	38	NFKBIA	14
GSE302495	SINGLE_15	34	0.9714285714285714	0.7538665595179282	0.7515864101407033	0.0022801493772249826	0.0022801493772249826	POSITIVE	0.9973738921107341	38	TNFAIP3	15
GSE302495	SINGLE_16	34	0.9714285714285714	0.7303089993781626	0.7515864101407033	-0.02127741076254064	0.02127741076254064	POSITIVE	0.9980304190830506	38	STAT1	16
GSE302495	SINGLE_17	34	0.9714285714285714	0.7515689099605666	0.7515864101407033	-1.750018013668697e-05	1.750018013668697e-05	POSITIVE	0.9984681037312616	38	IRF1	17
GSE302495	SINGLE_18	34	0.9714285714285714	0.7425822133773494	0.7515864101407033	-0.009004196763353844	0.009004196763353844	POSITIVE	0.9986869460553671	38	IFIT1	18
GSE302495	SINGLE_19	34	0.9714285714285714	0.7428732329533352	0.7515864101407033	-0.008713177187368082	0.008713177187368082	POSITIVE	0.9969362074625232	38	IFIT2	19
GSE302495	SINGLE_20	34	0.9714285714285714	0.7350956972305175	0.7515864101407033	-0.01649071291018578	0.01649071291018578	POSITIVE	0.994966626545574	38	IFIT3	20
GSE302495	SINGLE_21	34	0.9714285714285714	0.7321622723082352	0.7515864101407033	-0.019424137832468102	0.019424137832468102	POSITIVE	0.9964985228143123	38	ISG15	21
GSE302495	SINGLE_22	34	0.9714285714285714	0.7638199347274379	0.7515864101407033	0.012233524586734656	0.012233524586734656	POSITIVE	0.9962796804902068	38	MX1	22
GSE302495	SINGLE_23	34	0.9714285714285714	0.7486551703273111	0.7515864101407033	-0.0029312398133921613	0.0029312398133921613	POSITIVE	0.9969362074625232	38	OAS1	23
GSE302495	SINGLE_24	34	0.9714285714285714	0.7410177933136455	0.7515864101407033	-0.010568616827057786	0.010568616827057786	POSITIVE	0.9975927344348396	38	CXCL9	24
GSE302495	SINGLE_25	34	0.9714285714285714	0.7407071905190897	0.7515864101407033	-0.010879219621613534	0.010879219621613534	POSITIVE	0.9973738921107341	38	CXCL10	25
GSE302495	SINGLE_26	34	0.9714285714285714	0.7354859727790654	0.7515864101407033	-0.01610043736163791	0.01610043736163791	POSITIVE	0.9967173651384177	38	IFNG	26
GSE302495	SINGLE_27	34	0.9714285714285714	0.7525371928729798	0.7515864101407033	0.0009507827322765561	0.0009507827322765561	POSITIVE	0.9973738921107341	38	TNF	27
GSE302495	SINGLE_28	34	0.9714285714285714	0.7562138080711406	0.7515864101407033	0.004627397930437316	0.004627397930437316	POSITIVE	0.9982492614071562	38	CCL5	28
GSE302495	SINGLE_29	34	0.9714285714285714	0.736828209330695	0.7515864101407033	-0.014758200810008226	0.014758200810008226	POSITIVE	0.9975927344348396	38	NKG7	29
GSE302495	SINGLE_30	34	0.9714285714285714	0.7393403820900715	0.7515864101407033	-0.012246028050631796	0.012246028050631796	POSITIVE	0.9980304190830506	38	PRF1	30
GSE302495	SINGLE_31	34	0.9714285714285714	0.739316466894087	0.7515864101407033	-0.012269943246616233	0.012269943246616233	POSITIVE	0.9982492614071562	38	GZMB	31
GSE302495	SINGLE_32	34	0.9714285714285714	0.7587071501619197	0.7515864101407033	0.007120740021216432	0.007120740021216432	POSITIVE	0.9978115767589453	38	PDCD1	32
GSE302495	SINGLE_33	34	0.9714285714285714	0.7316571230268986	0.7515864101407033	-0.019929287113804706	0.019929287113804706	POSITIVE	0.9982492614071562	38	LAG3	33
GSE302495	SINGLE_34	34	0.9714285714285714	0.7492572435728887	0.7515864101407033	-0.0023291665678145668	0.0023291665678145668	POSITIVE	0.9975927344348396	38	TIGIT	34
GSE302495	SINGLE_35	34	0.9714285714285714	0.7440206835863085	0.7515864101407033	-0.007565726554394803	0.007565726554394803	POSITIVE	0.9973738921107341	38	TOX	35
