program_id	ERP117672__median_pairwise	ERP117672__PC1_variance	ERP117672__median_gene_to_rest	GSE302495__median_pairwise	GSE302495__PC1_variance	GSE302495__median_gene_to_rest	covariance_pearson	covariance_spearman	connectivity_pearson	connectivity_spearman
RANDOM_0097	0.1022695473038609	0.1981849722511665	0.2784313725490196	0.0475982054929423	0.1770072310260502	0.1640223219170587	0.4335954454346835	0.4000712358329033	0.4773782471319506	0.4176470588235294
RANDOM_0098	0.1050420168067226	0.1641974087998564	0.2557422969187675	0.0128022759601706	0.1882983548310674	0.1160958529379582	0.4195653150372868	0.3841916173190951	0.3769070051429313	0.4072829131652661
RANDOM_0099	0.1397759103641456	0.2039981369894574	0.3439775910364145	0.0806433964328701	0.1803832611172981	0.3331874384505963	0.4147771967533135	0.3859744564461537	0.4652837171268468	0.4464985994397759
RANDOM_0100	0.115406162464986	0.234378785947228	0.4148459383753501	0.0678782672314774	0.1879767283796992	0.2727869569974833	0.4744609507171888	0.3987987071536806	0.7155596429895656	0.5918767507002801
RANDOM_0101	0.1705882352941176	0.2755848352261487	0.4355742296918767	0.0771419192471824	0.2520265636354144	0.2911697122223438	0.6343256190452409	0.5948221037607923	0.7400419766695626	0.4677871148459384
RANDOM_0102	0.1226890756302521	0.2185888581198997	0.3288515406162465	0.0839260312944523	0.1944410882141025	0.28263486158223	0.5084485820978997	0.46628834316990403	0.6872290689339904	0.5249299719887955
RANDOM_0103	0.134491459468091	0.2106737536377893	0.3638655462184874	0.0935550935550935	0.1906632262852172	0.2778203304519094	0.4695792555980311	0.4190725350063435	0.5607493630322391	0.4896358543417367
RANDOM_0104	0.0653577080405573	0.2008831265562411	0.3322128851540616	0.0435591166649179	0.1571883742691473	0.2329576540102856	0.3850773301839739	0.340032491776297	0.5046905583382714	0.5375350140056022
RANDOM_0105	0.0851540616246498	0.1792395523910606	0.2106442577030812	0.0608085886704258	0.1624312469880653	0.2504650399387241	0.4328721088961069	0.38664093984921993	0.6266895974007737	0.5627450980392157
RANDOM_0106	0.1293623302919976	0.2224596941530035	0.34593837535014	0.0780172885436043	0.2231377876183941	0.3025495130758289	0.5162625326261232	0.4848375668185309	0.7034449597989251	0.530812324929972
RANDOM_0107	0.0672268907563025	0.2176251481370464	0.2775910364145658	0.0458474669000984	0.1833555103127124	0.213232865164614	0.4371642076750129	0.3795897376913602	0.624208481386363	0.6366946778711484
RANDOM_0108	0.0641456582633053	0.2266628202326602	0.2795518207282913	0.0368749316117737	0.1790291452891609	0.1780282306598096	0.4921456831717326	0.4651845040362669	0.6324413602771298	0.4932773109243697
RANDOM_0109	0.1257703081232493	0.2378576105480167	0.3380952380952381	0.044753255279571	0.2180248383904179	0.2611883138198927	0.5461960216602101	0.5115766740697619	0.742548835052555	0.6294117647058823
RANDOM_0110	0.107563025210084	0.2671385098859118	0.3983193277310924	0.0683882262829631	0.2528909982832936	0.2167633220264799	0.6228949185257516	0.5928355469468005	0.6896834694369887	0.5588235294117647
RANDOM_0111	0.1089635854341736	0.2035206927254963	0.2291316526610644	0.0561330561330561	0.161764051410337	0.1933471933471933	0.3272159928434861	0.3074876529770513	0.3567662763055483	0.1941176470588235
RANDOM_0112	0.0557422969187675	0.2144720106972061	0.1974789915966386	0.0554765291607396	0.1805887781555775	0.28263486158223	0.4143042692685716	0.38537854296437146	0.5480776957957582	0.503641456582633
RANDOM_0113	0.1476190476190476	0.2443536959251709	0.3812324929971988	0.1349901669296962	0.2840415782108377	0.4183171025276288	0.6420632160719592	0.5914542564863227	0.8481924237058603	0.6851540616246499
RANDOM_0114	0.0526758216250023	0.209886229854159	0.3081232492997199	0.0289966079439763	0.1946560797880369	0.190502243133822	0.4589652198051548	0.3997964927514186	0.7810844770263695	0.726610644257703
RANDOM_0115	0.1686274509803921	0.2882084410975734	0.4366946778711484	0.0940957953080993	0.2756727124592782	0.3347193347193347	0.6096794366972839	0.5961011095484211	0.7792814197249173	0.761344537815126
RANDOM_0116	0.1056022408963585	0.2135428126132184	0.2294117647058823	0.0958581825585365	0.1963439847783798	0.2653463179778969	0.4421775092394651	0.41698568108837736	0.3197382856804376	0.315126050420168
RANDOM_0117	0.0857142857142857	0.2163470469602846	0.3042016806722689	0.0344676660466134	0.1950213355092216	0.0644490644490644	0.4757751124028854	0.4288593089118443	0.4361995891139444	0.4179271708683473
RANDOM_0118	0.1521008403361344	0.2456065577277931	0.3991596638655462	0.0622606412080096	0.2329061469051307	0.3176496334391071	0.6172749718397005	0.5830639939633288	0.8031128759242722	0.7997198879551821
RANDOM_0119	0.1187675070028011	0.2595887480670664	0.4092436974789916	0.075610022978444	0.2309795757731654	0.3152423678739468	0.6229004117034196	0.6169047519183891	0.8392982757652337	0.7605042016806722
RANDOM_0120	0.1294117647058823	0.2649317033020373	0.4179271708683473	0.0710143341722289	0.203010901966245	0.3202757413283729	0.5036695648328923	0.4736281568853666	0.6875253960094695	0.6450980392156863
RANDOM_0121	0.1117647058823529	0.2136788001185714	0.3456582633053221	0.0502243133822081	0.2125457460283435	0.1944839709500537	0.44780756431987	0.4302884405862713	0.4844803792208096	0.4655462184873949
RANDOM_0122	0.1081232492997198	0.2577304546761337	0.3246498599439776	0.0480385184283076	0.1795426575084178	0.154174417332312	0.4939032164160796	0.4380706435942522	0.5206943817293239	0.5593837535014006
RANDOM_0123	0.1	0.1853955636109273	0.3196078431372549	0.0517562096509464	0.2036078126186926	0.2469635627530364	0.3928276542743876	0.3569846616822175	0.5214177764278016	0.4016806722689076
RANDOM_0124	0.0812324929971988	0.2326394608725719	0.2490196078431372	0.0854579275631907	0.1819046438219254	0.2294561768245978	0.4454566691074625	0.4137687819841426	0.6888563772639217	0.6526610644257703
RANDOM_0125	0.134733893557423	0.2248176151184101	0.3756302521008403	0.0732829884297071	0.2197602180244008	0.3231206915417441	0.4556030977812218	0.40347617316060486	0.6618628400794884	0.4829131652661064
RANDOM_0126	0.06890756302521	0.2500339256534556	0.2854341736694678	0.0524127366232629	0.1883505265111539	0.1736513841776999	0.4507070488985163	0.42007820358043846	0.6558344149662536	0.5837535014005603
RANDOM_0127	0.0785769313503386	0.1949701348834071	0.2584214587190282	0.0525133894158612	0.1455719809679352	0.1733326040784495	0.3794371349241163	0.33516565126448544	0.7046602620223869	0.6621848739495798
RANDOM_0128	0.0703081232492997	0.2925251313213237	0.372829131652661	0.0655432760695918	0.2369273818209255	0.2204836415362731	0.6655444092121984	0.6279931251430172	0.8392773282935125	0.853501400560224
RANDOM_0129	0.1358543417366947	0.2029051812787844	0.3588235294117647	0.0721085457927563	0.1817279935458266	0.2080096290622606	0.4371566365530329	0.3923515292882501	0.6343728904367425	0.6123249299719888
RANDOM_0130	0.06890756302521	0.18604754399745	0.2067226890756302	0.081956450377503	0.1866607463014345	0.2255170149906992	0.4011588308013687	0.35198709421026214	0.1749927505012641	0.1341736694677871
RANDOM_0131	0.1417366946778711	0.2454318714900955	0.3692911324561334	0.1134697450486924	0.2132680622287968	0.3485064011379801	0.5205724638348463	0.48072194503749927	0.8252081698062506	0.7879551820728291
RANDOM_0132	0.157703081232493	0.2855351530193236	0.4663865546218487	0.1024041714346579	0.2162683487683275	0.3290294342925922	0.5393113080817943	0.4899271081328677	0.8027566245412072	0.67703081232493
RANDOM_0133	0.0479125824355074	0.2007765356759531	0.2260504201680672	0.045190939927782	0.188583092868555	0.2088849983586825	0.4328015081831661	0.3988117014846701	0.4284024273811671	0.3843137254901961
RANDOM_0134	0.1224432662240745	0.2321357289349899	0.3747899159663865	0.0690344831567277	0.1918583746875692	0.2649086333296859	0.5285340749217904	0.5050454041008312	0.831530811626845	0.7873949579831933
RANDOM_0135	0.1675070028011204	0.2596668850939366	0.4607843137254901	0.0842589047603574	0.2107592480075975	0.3174307911150016	0.5108191451363622	0.48305569337100146	0.7837629135753509	0.7274509803921568
RANDOM_0136	0.0633053221288515	0.172467497146678	0.215126050420168	0.0425648320385162	0.2011958774515909	0.1909301178370397	0.4441683857146891	0.3982331078064802	0.5460154056373228	0.5644257703081232
RANDOM_0137	0.0974789915966386	0.1990408827341093	0.2694677871148459	0.0732027574132837	0.2182750066756575	0.2966407703249809	0.476211137358792	0.4397101374763211	0.5216002678010796	0.4557422969187675
RANDOM_0138	0.0761904761904762	0.2105397237538986	0.2358543417366946	0.0552576868366342	0.1992638851518501	0.2146960664153523	0.506260134621333	0.5015618597093389	0.7675745179436666	0.7201680672268908
RANDOM_0139	0.1254901960784313	0.1933840584201101	0.3274509803921568	0.0852023624266738	0.197243248725619	0.2922639238428712	0.3259904669431888	0.30529420912280053	0.3893466471870224	0.2893557422969188
