cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	zero_count_spot	inference_unit
Wu_Zenodo_19123188	U001	Responder	1608	1932	0.0924092825098976	0.544012860627402	-2.4631995293272	7.81480342948936	7.30518821539304	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1695	1931	0.148227369690593	0.647947183681474	-2.12766843148985	7.9168074909376	7.38770923908104	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1684	1913	0.252525022004161	0.501962650560135	0.223004560005525	9.69977891386053	8.61122983334262	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1595	1426	0.173213071538819	0.404163833590579	-0.0473281113939694	7.33236920592906	6.8627579130514	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1542	1557	0.203547221919893	0.534903166733342	-1.39425397523786	12.1203458975966	9.35288105875829	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1585	1595	0.231490879660532	0.426393513971489	-0.0981697370008129	11.530883254344	9.23532562467009	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1716	1819	0.257137503951278	0.463975248919056	-0.0601365166811624	12.3903963633281	9.38101098602928	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1477	1595	0.361775309599179	0.562546990753361	1.32769969780035	11.8253903898431	9.35824300189968	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1673	1744	0.164066867215371	0.331129237680468	-0.725336201412107	11.5660490832925	9.21652123105126	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1205	1129	0.196959377541704	0.582760279624256	-1.26300865561339	9.6825914737624	8.63870260881343	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1760	1968	0.277714093969889	0.724639532002346	-0.76018031930802	9.98778274403152	8.78370269863522	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1542	1483	0.108114152947496	0.272747654458702	-0.84403836338169	9.24338822602238	8.23853693017177	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1509	1576	0.275582434680036	0.556259349002879	-0.226212649169425	12.0644284327951	9.36947859331448	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1259	1109	0.416618127653255	0.672582445372418	2.0065005906148	10.1348770127042	8.97233695775495	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1576	1913	0.0450387546396647	0.345626583841136	-2.1030326453399	7.8659554139335	7.3362856600213	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1727	1800	0.302913187915689	0.48874331856458	0.653637801079767	12.1723710738572	9.35712110318438	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1629	1594	0.312445434723697	0.668706137390369	-0.146491642766191	11.5571911232682	9.29890054895566	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1737	1744	0.177300669565721	0.281063697954298	-0.355227860182915	12.3550399146653	9.34687973611501	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1445	1577	0.202575829253767	0.434095018706794	-0.405294824940954	10.3756139271628	8.9169084675438	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1673	1856	0.210405660139958	0.395644215010155	-0.388084990659367	11.9933867221148	9.31298720893633	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1704	1501	0.219885442704259	0.338034311710355	0.158305096121343	11.8853024835561	9.33158407926155	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1563	1482	0.0939825501104658	0.426634102815367	-1.97938638743271	8.96686655418872	8.11731246160197	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1639	1576	0.207910607644675	0.534073156838517	-1.27259420602832	11.9425236795809	9.35677565020573	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1716	1744	0.177479488943846	0.285884491328242	-0.373089202434832	12.3156173950592	9.34792603492875	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1630	1857	0.25788357198349	0.385355053859659	0.465081576390344	12.2571316624769	9.37771748138431	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1651	1819	0.196181318100326	0.489358988776151	-1.20107360360248	11.9164286497649	9.31027620058878	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1770	1725	0.218322709273623	0.291891648728001	0.368295319734722	12.0948281867134	9.32758993202642	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1651	1856	0.218867324105949	0.374461296210628	-0.1491940061752	12.1845220914997	9.36125725729304	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1682	1426	0.144148163946901	0.29059014106887	-0.233558016857649	8.90774768678865	8.06620756800626	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1641	1950	0.0788643862287766	0.212846078679514	-0.530559197071921	7.20934025660291	6.8001700683022	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1706	1912	0.271870969604364	0.522584667751644	0.438215167073013	9.71619365411562	8.6278397115033	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1630	1819	0.224449145538894	0.470989032406665	-0.646707248880324	12.2041357709991	9.37033110828512	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1326	1633	0.295815712279412	0.706723436888088	-0.333776864256831	10.0174856565895	8.82055174325303	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1596	1613	0.29576346410729	0.525710910162747	0.488525240818196	11.3076955029409	9.26131861674081	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1565	1894	0.0775401475294296	0.305354665910255	-1.34163472568271	8.15133333790043	7.59689443814454	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	318	1207	0	0	0.799282913045825	1.09861228866811	1.09861228866811	FALSE	patient; spots nested
