identity	context	score	estimate	eligible_patient_n	mean_patient_effect	median_patient_effect	bootstrap_ci_low	bootstrap_ci_high	bootstrap_draws	positive_patient_n	negative_patient_n	zero_patient_n	positive_direction_fraction	loo_mean_min	loo_mean_max	loo_positive_direction_fraction	seed	biological_replicate	within_patient_weighting	raw_mean	adjusted_mean	attenuation_difference	adjusted_to_raw_ratio	attenuation_fraction
PAIRED_CDR3_ALPHA_BETA	PERSISTENCE	AF35	RAW	7	0.1954970188285717	0.21216111592744658	0.15713200834705127	0.2306567957692249	10000	7	0	0	1.0	0.18598916984694383	0.2090389276061756	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.1954970188285717	0.01617483418696839	0.17932218464160332	0.08273698639441582	0.9172630136055842
PAIRED_CDR3_ALPHA_BETA	PERSISTENCE	AF35	STATE_ADJUSTED	7	0.01617483418696839	0.015293542451949945	0.007859643115161985	0.02483624986200984	10000	6	1	0	0.8571428571428571	0.012792520349698834	0.019379072969032008	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.1954970188285717	0.01617483418696839	0.17932218464160332	0.08273698639441582	0.9172630136055842
PAIRED_CDR3_ALPHA_BETA	LATER_OBSERVATION	PTPN22	RAW	7	0.2957935353117912	0.3204423137978037	0.23004933474869368	0.35334607720500827	10000	7	0	0	1.0	0.2784631340304659	0.3231392933183053	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2957935353117912	0.02325889871932992	0.2725346365924613	0.07863220774860102	0.921367792251399
PAIRED_CDR3_ALPHA_BETA	LATER_OBSERVATION	PTPN22	STATE_ADJUSTED	7	0.02325889871932992	0.003970250764377084	-0.02728217996375328	0.07857567607304473	10000	4	3	0	0.5714285714285714	0.005205029043253854	0.036780304125411396	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.2957935353117912	0.02325889871932992	0.2725346365924613	0.07863220774860102	0.921367792251399
PAIRED_CDR3_ALPHA_BETA	LATER_OBSERVATION	AF35	RAW	7	0.296565213050755	0.3112099989084183	0.24155935871203787	0.33278816323139754	10000	7	0	0	1.0	0.2871271151025918	0.3217112200627011	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.296565213050755	0.03062175491986347	0.26594345813089154	0.10325470949494936	0.8967452905050506
PAIRED_CDR3_ALPHA_BETA	LATER_OBSERVATION	AF35	STATE_ADJUSTED	7	0.03062175491986347	0.041311514302643335	-0.006143533732773222	0.057017825039167545	10000	6	1	0	0.8571428571428571	0.022348481384913268	0.04733801895237489	1.0	20260908	patient	cells; state min-group-cell weights for adjusted	0.296565213050755	0.03062175491986347	0.26594345813089154	0.10325470949494936	0.8967452905050506
AUTHOR_CLONE_ID	TUMOR_BLOOD_CODETECTION	AF35	RAW	9	0.16038018455808392	0.16008274812895606	0.140691083932069	0.18093626952145858	10000	9	0	0	1.0	0.15257531654397474	0.16758790559548814	1.0	20260908	patient	equal_compartment_then_equal_timepoint	NA	NA	NA	NA	NA
AUTHOR_CLONE_ID	TUMOR_BLOOD_CODETECTION	AF35	STATE_ADJUSTED	9	0.025809681391148486	0.019325355149574883	0.013996812889401803	0.039372609794906165	10000	9	0	0	1.0	0.02085026368617047	0.028877408234777982	1.0	20260908	patient	equal_compartment_then_equal_timepoint	NA	NA	NA	NA	NA
AUTHOR_CLONE_ID	TUMOR_BLOOD_CODETECTION	PTPN22	RAW	9	0.1598656229853335	0.1525366198377467	0.09714500499652558	0.2157427295580742	10000	8	1	0	0.8888888888888888	0.1479346662971463	0.18080181726137184	1.0	20260908	patient	equal_compartment_then_equal_timepoint	NA	NA	NA	NA	NA
AUTHOR_CLONE_ID	TUMOR_BLOOD_CODETECTION	PTPN22	STATE_ADJUSTED	9	0.004071272432220545	-0.002716333565519452	-0.025589715055185338	0.03364313774666671	10000	4	5	0	0.4444444444444444	-0.005900934848921879	0.014946465107973076	0.7777777777777778	20260908	patient	equal_compartment_then_equal_timepoint	NA	NA	NA	NA	NA
