cohort	context	omitted_gene	retained_gene_n	spearman_rho_vs_canonical	median_normalized_rank_displacement	max_normalized_rank_displacement	canonical_raw_score_sd	loo_raw_score_sd	raw_score_sd_change	outcome_loaded
GSE104580	pretreatment TACE non-ICI control	ISG15	34	0.9985039554511179	0.00684931506849315	0.0547945205479452	0.6091199976913788	0.6120853858484946	0.002965388157115778	NO
GSE104580	pretreatment TACE non-ICI control	MX1	34	0.9985984027079917	0.00684931506849315	0.0547945205479452	0.6091199976913788	0.6113483041353213	0.0022283064439424516	NO
GSE104580	pretreatment TACE non-ICI control	OAS1	34	0.9985984027079917	0.00684931506849315	0.0684931506849315	0.6091199976913788	0.6114942870798457	0.0023742893884668437	NO
GSE104580	pretreatment TACE non-ICI control	CXCL9	34	0.9988061866731142	0.00684931506849315	0.04794520547945205	0.6091199976913788	0.6048043144587855	-0.004315683232593348	NO
GSE104580	pretreatment TACE non-ICI control	CXCL10	34	0.9989610801743876	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6051887374018955	-0.003931260289483318	NO
GSE104580	pretreatment TACE non-ICI control	IFNG	34	0.999659989875254	0	0.0273972602739726	0.6091199976913788	0.6077617852230823	-0.0013582124682964825	NO
GSE104580	pretreatment TACE non-ICI control	TNF	34	0.9991424189075853	0.00684931506849315	0.0958904109589041	0.6091199976913788	0.6148513334754515	0.0057313357840727	NO
GSE104580	pretreatment TACE non-ICI control	CCL5	34	0.9993615365435325	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6009370369669231	-0.008182960724455679	NO
GSE104580	pretreatment TACE non-ICI control	NKG7	34	0.9992028651519845	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6015178686529317	-0.007602129038447147	NO
GSE104580	pretreatment TACE non-ICI control	PRF1	34	0.9992784229574836	0.00684931506849315	0.0547945205479452	0.6091199976913788	0.6024704980295862	-0.006649499661792624	NO
GSE104580	pretreatment TACE non-ICI control	GZMB	34	0.9993048681894084	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6035524279398081	-0.005567569751570689	NO
GSE104580	pretreatment TACE non-ICI control	PDCD1	34	0.9986059584885417	0.00684931506849315	0.10273972602739725	0.6091199976913788	0.6267031976723897	0.017583199981010877	NO
GSE104580	pretreatment TACE non-ICI control	LAG3	34	0.9990744168826361	0.00684931506849315	0.0821917808219178	0.6091199976913788	0.6098726699834203	0.0007526722920414564	NO
GSE104580	pretreatment TACE non-ICI control	TIGIT	34	0.9995315416059055	0.00684931506849315	0.0410958904109589	0.6091199976913788	0.6038534688870931	-0.005266528804285686	NO
GSE104580	pretreatment TACE non-ICI control	TOX	34	0.9975670386629291	0.00684931506849315	0.136986301369863	0.6091199976913788	0.613603447854967	0.0044834501635881985	NO
