cohort	gene	gene_z_vs_canonical_spearman_rho	covariance_share_of_canonical_raw_variance	loo_spearman_rho	loo_rho_loss_from_one	loo_max_normalized_rank_displacement	catastrophic_dependency	catastrophic_rule	canonical_gene_removed	outcome_loaded
ERP117672	IFNG	0.777465131462145	0.0320453338514135	0.9992495309568482	0.0007504690431517913	0.02564102564102564	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	TNF	0.845821969107609	0.03177510478088036	0.9994371482176362	0.0005628517823638157	0.02564102564102564	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	CCL5	0.9157598499061914	0.036959542232465135	0.9994371482176362	0.0005628517823638157	0.02564102564102564	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	NKG7	0.7429643527204504	0.034092948589907204	0.9992495309568482	0.0007504690431517913	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	PRF1	0.8225140712945592	0.035752233117690026	0.9992495309568482	0.0007504690431517913	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	GZMB	0.7801125703564729	0.033579155078456435	0.998874296435272	0.0011257035647279645	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	PDCD1	0.6202626641651032	0.029480735756173042	0.9977485928705443	0.002251407129455707	0.07692307692307693	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	LAG3	0.6088180112570358	0.03201269110291715	0.9983114446529082	0.0016885553470917802	0.05128205128205128	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	TIGIT	0.8392120075046905	0.03642346974762071	0.9994371482176362	0.0005628517823638157	0.02564102564102564	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
ERP117672	TOX	0.8210131332082553	0.03237377495861868	0.9969981238273923	0.0030018761726077203	0.10256410256410256	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CD3D	0.9164022321917058	0.042010008867545634	0.9986869460553671	0.0013130539446328804	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CD3E	0.8632235474340738	0.03977189896709316	0.9986869460553671	0.0013130539446328804	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CD3G	0.7789692526534632	0.036188895819685776	0.9982492614071562	0.0017507385928438035	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CD247	0.7875041032935769	0.03170000470598716	0.9964985228143123	0.003501477185687718	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	LCK	0.8457161615056351	0.03832372943563548	0.9980304190830506	0.0019695809169494316	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	FYN	0.6259984681037313	0.032012620782356185	0.9978115767589453	0.0021884232410547266	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	ZAP70	0.8032607506291717	0.03737761005231028	0.9980304190830506	0.0019695809169494316	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	LAT	0.37121186432517145	0.01567128451693227	0.9967173651384177	0.003282634861582312	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	LCP2	0.8240507714191925	0.038290081821631176	0.9982492614071562	0.0017507385928438035	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	TRAT1	0.5697559908086224	0.028288858974577055	0.9975927344348396	0.0024072655651603547	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	NFKB1	0.5176715176715176	0.023440517521917205	0.9964985228143123	0.003501477185687718	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	REL	0.6224969909180436	0.02417730871076791	0.9969362074625232	0.003063792537476795	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	RELA	-0.1915964547543495	-0.007479030007533547	0.9969362074625232	0.003063792537476795	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	NFKBIA	0.23689681584418426	0.013024278952341399	0.994966626545574	0.0050333734544260045	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	TNFAIP3	0.43166648429806326	0.019358425310066683	0.9973738921107341	0.002626107889265872	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	STAT1	0.7115658168289747	0.03452347025937251	0.9980304190830506	0.0019695809169494316	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
