source	analysis	lineage	eligible_patient_n	positive_total_n	between_dominant_n	opposing_n	median_C_total	median_C_between	median_C_within	median_abs_between	median_abs_within	median_abs_total	median_abs_between_over_within	median_residual_Pearson	median_residual_Spearman	median_abs_residual_Pearson	core_gate	final_gate	lineage_gate	LOPO_stable	removed_state	removal_type	full_median_C_total	signed_change_C_total	absolute_change_C_total	relative_change_C_total	full_median_C_between	signed_change_C_between	absolute_change_C_between	relative_change_C_between	full_median_C_within	signed_change_C_within	absolute_change_C_within	relative_change_C_within	full_median_abs_between	signed_change_abs_between	absolute_change_abs_between	relative_change_abs_between	matched_reference_patient_n	matched_reference_median_abs_between	between_reduction_fraction	architecture_changed	HIGH_INFLUENCE_STATE	catastrophic_collapse
GSE235863	LOSO_CD8_C02_GPR183	ALL	6	6	5	1	0.211496274258937	0.168344709911445	0.0657850289003614	0.168344709911445	0.0657850289003614	0.211496274258937	2.55901247936549	0.0803263372813228	0.0790652501087985	0.0803263372813228	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C02_GPR183	SINGLE_STATE	0.210808539640092	0.000687734618845609	0.000687734618845609	0.00326236603137502	0.168069322872166	0.000275387039278985	0.000275387039278985	0.00163853244942532	0.0654179112895234	0.000367117610838061	0.000367117610838061	0.00561188218335633	0.168069322872166	0.000275387039278985	0.000275387039278985	0.00163853244942532	6	0.168069322872166	-0.00163853244942532	False	False	False
GSE235863	LOSO_CD8_C03_CX3CR1	ALL	6	6	5	1	0.213793326990464	0.169980960670471	0.0644606747700346	0.169980960670471	0.0644606747700346	0.213793326990464	2.63697147566145	0.0782249256924682	0.0811335190270968	0.0782249256924682	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C03_CX3CR1	SINGLE_STATE	0.210808539640092	0.00298478735037186	0.00298478735037186	0.0141587592014428	0.168069322872166	0.00191163779830533	0.00191163779830533	0.0113741030524609	0.0654179112895234	-0.000957236519488758	0.000957236519488758	-0.0146326365458577	0.168069322872166	0.00191163779830533	0.00191163779830533	0.0113741030524609	6	0.168069322872166	-0.0113741030524609	False	False	False
GSE235863	LOSO_CD8_C04_GIMAP4	ALL	6	6	5	1	0.211088369479829	0.167738417372327	0.0655107347080156	0.167738417372327	0.0655107347080156	0.211088369479829	2.56047223588539	0.0801000057978866	0.0789066504500947	0.0801000057978866	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C04_GIMAP4	SINGLE_STATE	0.210808539640092	0.000279829839737122	0.000279829839737122	0.00132741225860617	0.168069322872166	-0.000330905499838247	0.000330905499838247	-0.00196886317016899	0.0654179112895234	9.28234184922327e-05	9.28234184922327e-05	0.00141892971913181	0.168069322872166	-0.000330905499838247	0.000330905499838247	-0.00196886317016899	6	0.168069322872166	0.00196886317016899	False	False	False
GSE235863	LOSO_CD8_C05_CCR7	ALL	6	6	5	1	0.211291972706855	0.169284132214971	0.062238877791796	0.169284132214971	0.062238877791796	0.211291972706855	2.71990977699288	0.0760711759584829	0.0743883026965269	0.0760711759584829	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C05_CCR7	SINGLE_STATE	0.210808539640092	0.0004834330667636	0.0004834330667636	0.00229323284336087	0.168069322872166	0.00121480934280549	0.00121480934280549	0.00722802544834122	0.0654179112895234	-0.00317903349772738	0.00317903349772738	-0.0485957658240994	0.168069322872166	0.00121480934280549	0.00121480934280549	0.00722802544834122	6	0.168069322872166	-0.00722802544834122	False	False	False
GSE235863	LOSO_CD8_C06_IKZF2	ALL	6	6	5	1	0.210873277355801	0.168123147527512	0.0654474106939839	0.168123147527512	0.0654474106939839	0.210873277355801	2.56882809793064	0.080026114420948	0.0788402128665309	0.080026114420948	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C06_IKZF2	SINGLE_STATE	0.210808539640092	6.47377157087514e-05	6.47377157087514e-05	0.00030709247272087	0.168069322872166	5.38246553464794e-05	5.38246553464794e-05	0.000320252705411437	0.0654179112895234	2.94994044605368e-05	2.94994044605368e-05	0.000450937730646577	0.168069322872166	5.38246553464794e-05	5.38246553464794e-05	0.000320252705411437	6	0.168069322872166	-0.000320252705411437	False	False	False
GSE235863	LOSO_CD8_C07_KIR2DL4	ALL	6	6	5	1	0.214254816828902	0.170140179402339	0.06483785108134	0.170140179402339	0.06483785108134	0.214254816828902	2.62408726638543	0.0790263794071183	0.0773836559382511	0.0790263794071183	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C07_KIR2DL4	SINGLE_STATE	0.210808539640092	0.00344627718881035	0.00344627718881035	0.016347901250557	0.168069322872166	0.0020708565301733	0.0020708565301733	0.012321442692718	0.0654179112895234	-0.000580060208183367	0.000580060208183367	-0.0088669937139412	0.168069322872166	0.0020708565301733	0.0020708565301733	0.012321442692718	6	0.168069322872166	-0.012321442692718	False	False	False
GSE235863	LOSO_CD8_C08_GZMK	ALL	6	6	4	1	0.21395102515857	0.185571838690083	0.0666236301089202	0.185571838690083	0.0666236301089202	0.21395102515857	2.78537567506753	0.0728821776466002	0.069914495301676	0.0728821776466002	STATE_SEPARATION_PREDOMINANT	COUPLING_ARCHITECTURE_UNRESOLVED	UNRESOLVED	False	CD8_C08_GZMK	SINGLE_STATE	0.210808539640092	0.00314248551847773	0.00314248551847773	0.0149068226735161	0.168069322872166	0.0175025158179172	0.0175025158179172	0.10413867039394	0.0654179112895234	0.00120571881939681	0.00120571881939681	0.0184310198175022	0.168069322872166	0.0175025158179172	0.0175025158179172	0.10413867039394	6	0.168069322872166	-0.10413867039394	True	True	False
GSE235863	LOSO_CD8_C09_LAYN	ALL	6	6	5	0	0.185778278795483	0.121532562607687	0.0740071574281387	0.121532562607687	0.0740071574281387	0.185778278795483	1.64217309286194	0.085153515087712	0.0912276623807824	0.085153515087712	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C09_LAYN	SINGLE_STATE	0.210808539640092	-0.0250302608446086	0.0250302608446086	-0.11873456780898	0.168069322872166	-0.0465367602644783	0.0465367602644783	-0.276890270450334	0.0654179112895234	0.00858924613861531	0.00858924613861531	0.13129807982712	0.168069322872166	-0.0465367602644783	0.0465367602644783	-0.276890270450334	6	0.168069322872166	0.276890270450334	False	False	False
GSE235863	LOSO_CD8_C10_SLC4A10	ALL	6	6	6	1	0.214865542418441	0.180503433201467	0.0717675041016415	0.180503433201467	0.0717675041016415	0.214865542418441	2.5151137058609	0.0888664032422271	0.0860033182286471	0.0888664032422271	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C10_SLC4A10	SINGLE_STATE	0.210808539640092	0.0040570027783487	0.0040570027783487	0.0192449641047517	0.168069322872166	0.0124341103293012	0.0124341103293012	0.0739820338227854	0.0654179112895234	0.0063495928121181	0.0063495928121181	0.09706199245672	0.168069322872166	0.0124341103293012	0.0124341103293012	0.0739820338227854	6	0.168069322872166	-0.0739820338227854	False	False	False
GSE235863	LOSO_CD8_C11_MKI67	ALL	6	6	5	1	0.210367843199317	0.167384358441489	0.065315808371375	0.167384358441489	0.065315808371375	0.210367843199317	2.56269290107792	0.0798030906298542	0.0820807228274452	0.0798030906298542	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	STATE_SEPARATION_PREDOMINANT	True	CD8_C11_MKI67	SINGLE_STATE	0.210808539640092	-0.000440696440774657	0.000440696440774657	-0.00209050563856212	0.168069322872166	-0.000684964430676782	0.000684964430676782	-0.0040754875367575	0.0654179112895234	-0.000102102918148328	0.000102102918148328	-0.00156077924433334	0.168069322872166	-0.000684964430676782	0.000684964430676782	-0.0040754875367575	6	0.168069322872166	0.0040754875367575	False	False	False
