released_t_cell_state	program	n_patients	patient_mean_score	patient_median_score	source_level
CD8_C04_GIMAP4	effector_differentiation	9	0.589062175036	0.496687776251	unweighted_patient_state_means
CD8_C04_GIMAP4	exhaustion	9	-0.06987518873	-0.0850031701622	unweighted_patient_state_means
CD8_C04_GIMAP4	proliferation	9	-0.2256331182	-0.179221749138	unweighted_patient_state_means
CD8_C05_CCR7	AP1	9	0.228361381995	0.220601058552	unweighted_patient_state_means
CD8_C05_CCR7	IFNG_TNF	9	-0.0451629822347	-0.0778833369239	unweighted_patient_state_means
CD8_C05_CCR7	IFN_response	9	-0.0802159632628	-0.087092084795	unweighted_patient_state_means
CD8_C05_CCR7	NFAT	9	0.0425010666507	0.0365602711566	unweighted_patient_state_means
CD8_C05_CCR7	NFkB	9	0.301918530186	0.296315803076	unweighted_patient_state_means
CD8_C05_CCR7	TCR_activation	9	-0.0979002843787	-0.124093851115	unweighted_patient_state_means
CD8_C05_CCR7	Treg	9	-0.275767929066	-0.288856510599	unweighted_patient_state_means
CD8_C05_CCR7	checkpoint	9	-0.101848801625	-0.0943437984834	unweighted_patient_state_means
CD8_C05_CCR7	cytotoxicity	9	-0.166771263027	-0.174134129518	unweighted_patient_state_means
CD8_C05_CCR7	effector_differentiation	9	-0.0621655662215	-0.0913352081768	unweighted_patient_state_means
CD8_C05_CCR7	exhaustion	9	-0.155152437015	-0.179999575528	unweighted_patient_state_means
CD8_C05_CCR7	proliferation	9	0.00588942433787	0.0116575037152	unweighted_patient_state_means
CD8_C06_IKZF2	AP1	9	-0.147270571727	-0.130930719479	unweighted_patient_state_means
CD8_C06_IKZF2	IFNG_TNF	9	0.345392872393	0.370469074388	unweighted_patient_state_means
CD8_C06_IKZF2	IFN_response	9	0.0125830437589	0.0243825946487	unweighted_patient_state_means
CD8_C06_IKZF2	NFAT	9	0.0340855442154	0.0279896695353	unweighted_patient_state_means
CD8_C06_IKZF2	NFkB	9	-0.281751896035	-0.250993304875	unweighted_patient_state_means
CD8_C06_IKZF2	TCR_activation	9	0.25011359884	0.228581391497	unweighted_patient_state_means
