gene_rank	gene	dataset	contrast	condition	frozen_author_log_fc	direction	author_zscore	author_adjusted_p	donor_n	inference_unit	source_url	source_etag	source_type	new_endpoint_fitted
34	TIGIT	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-0.409641260564801	NEGATIVE	-0.4455579014493026	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
35	TOX	GSE314342	PTPN22_CRISPRI_VS_NTC_REST	Rest	-1.1307848304206445	NEGATIVE	-1.3832397789653392	0.9998307120119934	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
1	CD3D	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0016743240543618	NEGATIVE	-0.029748689967951897	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
2	CD3E	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0357538831251696	NEGATIVE	-0.7140822003932149	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
3	CD3G	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0097244935999004	NEGATIVE	-0.16417098354808432	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
4	CD247	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.068032059407154	NEGATIVE	-0.7924474495648024	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
5	LCK	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0997809516278895	NEGATIVE	-1.7118694759377349	0.9842238360150402	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
6	FYN	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0624657603341894	NEGATIVE	-0.7413257476510426	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
7	ZAP70	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0902010033162045	NEGATIVE	-1.6112363608757876	0.9986964737096724	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
8	LAT	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0516316249800226	NEGATIVE	-0.8074369121875323	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
9	LCP2	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0386166783447062	POSITIVE	0.6140978724761037	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
10	TRAT1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0558054475112265	POSITIVE	0.5326795579077884	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
11	NFKB1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0250934698962017	NEGATIVE	-0.3911048442960743	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
12	REL	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.136692498943681	NEGATIVE	-1.0889687788941358	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
13	RELA	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.1005171176463499	NEGATIVE	-1.2418043172545727	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
