gene	system	condition	contrast	native_effect	orientation_factor	eligible	is_AF35	is_PTPN22	oriented_effect	rank_score	average_rank	percentile_rank	gene_rank
STAT1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0962360857416558	-1	True	True	False	0.0962360857416558	0.5809181093172535	8128.0	0.7904590546586268	16
IRF1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.1598653446812211	-1	True	True	False	0.1598653446812211	0.7353627698891265	8922.0	0.8676813849445633	17
IFIT1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.3526388727977316	-1	True	True	False	-0.3526388727977316	-0.911009531219607	458.0	0.04449523439019646	18
IFIT2	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-2.2776752335345187	-1	True	True	False	2.2776752335345187	0.9989301692277768	10277.0	0.9994650846138884	19
IFIT3	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.635612826274918	-1	True	True	False	0.635612826274918	0.9378525578681189	9963.0	0.9689262789340595	20
ISG15	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0924795170019696	-1	True	True	False	0.0924795170019696	0.5678856253647151	8061.0	0.7839428126823575	21
MX1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0077690603271504	-1	True	True	False	-0.0077690603271504	-0.060396809959151865	4831.0	0.46980159502042407	22
OAS1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0707412144253392	-1	True	True	False	0.0707412144253392	0.4821046489009919	7620.0	0.741052324450496	23
CXCL9	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.5395893971258471	-1	True	True	False	-0.5395893971258471	-0.9596382026843027	208.0	0.020180898657848667	24
CXCL10	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	1.900227278290232	-1	True	True	False	-1.900227278290232	-0.999513713285353	3.0	0.00024314335732347793	25
IFNG	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.1937496060937495	-1	True	True	False	-0.1937496060937495	-0.7937171756467614	1061.0	0.10314141217661933	26
TNF	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0956043863025873	-1	True	True	False	-0.0956043863025873	-0.5822797121182649	2148.0	0.20886014394086755	27
CCL5	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.4848239652833012	-1	True	True	False	-0.4848239652833012	-0.9499124683913636	258.0	0.025043765804318226	28
NKG7	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.2509325655034272	-1	True	True	False	-0.2509325655034272	-0.8499319198599494	772.0	0.07503404007002529	29
PRF1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.2586169679312327	-1	True	True	False	-0.2586169679312327	-0.8555728457498541	743.0	0.07221357712507294	30
GZMB	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.2449558858917684	-1	True	True	False	-0.2449558858917684	-0.8452635673993386	796.0	0.07736821630033068	31
PDCD1	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.0172440711497906	-1	True	True	False	0.0172440711497906	0.13800816961680606	5851.0	0.569004084808403	32
LAG3	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.0285519783940356	-1	True	True	False	-0.0285519783940356	-0.21406341178758992	4041.0	0.39296829410620504	33
TIGIT	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	0.37090236126258	-1	True	True	False	-0.37090236126258	-0.9187901186539584	418.0	0.04060494067302081	34
TOX	GSE314342_Stim8hr	Stim8hr	PTPN22_CRISPRI_VS_NTC_STIM8HR	-0.1511087645136555	-1	True	True	False	0.1511087645136555	0.7219412565648706	8853.0	0.8609706282824353	35
CD3D	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0016743240543618	-1	True	True	False	0.0016743240543618	0.010406535693444852	5195.0	0.5052032678467224	1
CD3E	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0357538831251696	-1	True	True	False	0.0357538831251696	0.24576930558257137	6405.0	0.6228846527912857	2
CD3G	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0097244935999004	-1	True	True	False	0.0097244935999004	0.06856642676522084	5494.0	0.5342832133826104	3
