gene	CD3D	CD3E	CD3G	CD247	LCK	FYN	ZAP70	LAT	LCP2	TRAT1	NFKB1	REL	RELA	NFKBIA	TNFAIP3	STAT1	IRF1	IFIT1	IFIT2	IFIT3	ISG15	MX1	OAS1	CXCL9	CXCL10	IFNG	TNF	CCL5	NKG7	PRF1	GZMB	PDCD1	LAG3	TIGIT	TOX
NFKB1	0.4846263267315899	0.4633986212933581	0.34631797789692526	0.3854907539118066	0.43976365028996606	0.27059853375642845	0.22704891125943757	0.3132899172411899	0.5599080862238756	0.319400372031951	1.0	0.4695262063683116	-0.029653134916292807	0.17868475763212605	0.33843965422912786	0.43473027683554	0.4968814968814969	-0.3043002516686727	-0.03818798555640661	0.11084363715942663	0.04540978225188752	0.24586935113250902	0.4005908742750848	0.4625232519969362	0.34916292811029653	0.19005378912637064	0.4653682022103075	0.35704125177809387	0.20691541744173325	0.19050224313382208	0.35747893642630485	0.23711565816828972	0.2147937411095306	0.26381442170915853	0.3787066418645366
REL	0.5299266878214247	0.47652916073968704	0.4695262063683116	0.5566254513622934	0.48572053835211726	0.45333187438450595	0.36754568333515697	0.4270214947208696	0.683991683991684	0.26118831381989277	0.4695262063683116	1.0	-0.0322792428055586	0.2999234051865631	0.4780610570084254	0.33318743845059634	0.4246635299266878	-0.07385928438560017	0.2474012474012474	0.19247182405077143	-0.10646679067731699	0.38833570412517776	0.2697231644600066	0.29051318525002734	0.21041689462742094	0.13090160115620342	0.525987525987526	0.3896487580698107	0.33362512309880726	0.33406280774701824	0.6198708830287778	0.33187438450596346	0.23339533865849657	0.2898566582777109	0.30714520188204397
RELA	-0.26293905241273663	-0.3069263595579385	-0.13272786956997482	-0.3445672393040814	-0.34675566254513623	-0.276726118831382	-0.45486377065324435	-0.036798780201147574	-0.06554327606959186	-0.15789473684210525	-0.029653134916292807	-0.0322792428055586	1.0	-0.2863551810920232	-0.05372579056789582	0.060291060291060294	0.03621840463945727	-0.08392603129445234	-0.046066309224203954	-0.024182076813655765	0.25374767480030636	0.06685633001422475	-0.2325199693620746	-0.13338439654229128	0.009081956450377503	-0.21042843164942823	-0.006893533209322683	-0.294890031732137	-0.054163475216106795	-0.28963781595360544	-0.2618448407922092	-0.09421162052740999	-0.349381770434402	-0.11937848779954041	-0.21041689462742094
NFKBIA	0.20385162490425648	0.3329685961264908	0.3104278367436262	0.3949009738483423	0.2776014881278039	0.36579494474231317	0.2668782142466353	0.0649259445240791	0.2500273552905132	0.3868038078564394	0.17868475763212605	0.2999234051865631	-0.2863551810920232	1.0	0.25571725571725573	-0.3320932268300689	0.1596454754349491	0.07626654995076047	-0.007550060181639129	-0.06970128022759602	-0.21172994857205382	-0.09355509355509356	0.14979757085020243	-0.12660028449502134	-0.18568771200350145	0.09760111015077592	0.012364591311959734	0.33165554218185794	0.26293905241273663	0.3102089944195207	0.21545026808184703	0.04869241711346974	0.3141481562534194	0.08261297734981946	0.08677098150782363
TNFAIP3	0.4572710362184046	0.2909508698982383	0.24433745486377065	0.4244446876025823	0.397089397089397	0.46230440967283076	0.3500382974067185	0.36887719851180556	0.3835211729948572	0.13601050443155704	0.33843965422912786	0.4780610570084254	-0.05372579056789582	0.25571725571725573	1.0	0.24193018929861035	0.6557610241820767	-0.3082394135025714	0.11653353758616918	-0.14454535507167085	-0.3789254841886421	0.1465149359886202	0.040376408797461426	0.3108655213918372	0.19684867053288105	0.10921246556714209	0.35047598205492947	0.1975051975051975	0.12878870773607617	0.2981726665937192	0.4907539118065434	0.5189845716161505	0.2745376955903272	0.100120363278258	0.35178903599956235
STAT1	0.6548856548856549	0.5111062479483532	0.5364919575445891	0.34850640113798004	0.5054163475216107	0.24783893204945834	0.49906992012255164	0.14964096118049738	0.5421818579713317	0.22617354196301565	0.43473027683554	0.33318743845059634	0.060291060291060294	-0.3320932268300689	0.24193018929861035	1.0	0.5603457708720867	-0.13863661232082283	0.14498303971988183	0.4196301564722617	0.35879199037093773	0.549622496990918	0.45179997811576755	0.8457161615056351	0.7592734434839697	0.4433127865097533	0.6235912025385709	0.4432651274756538	0.446110077689025	0.47105810263705	0.5610022978444031	0.5669110405952511	0.4051865630812999	0.5922967501914871	0.4515811357916621
IRF1	0.6798336798336799	0.5183280446438341	0.41569099463836306	0.6001750738592844	0.5305832147937412	0.5113250902724588	0.41240835977678086	0.45136872391739924	0.6743626217310428	0.33165554218185794	0.4968814968814969	0.4246635299266878	0.03621840463945727	0.1596454754349491	0.6557610241820767	0.5603457708720867	1.0	-0.41437794069373013	-0.04365904365904366	0.0504431557063136	0.07342159973738921	0.4264142685195317	0.3305613305613306	0.5778531568005252	0.39927782033045195	0.24920597709653788	0.6259984681037313	0.35879199037093773	0.3053944632892001	0.40343582448845605	0.5813546339862129	0.5793850530692637	0.3762993762993763	0.4780610570084254	0.4918481234270708
IFIT1	-0.053069263595579376	0.08523908523908524	0.22135901083269502	-0.0370937739358792	-0.007987744829850093	-0.06598096071780282	0.17299485720538352	-0.11106338797869011	-0.15483094430462851	0.05875916402232192	-0.3043002516686727	-0.07385928438560017	-0.08392603129445234	0.07626654995076047	-0.3082394135025714	-0.13863661232082283	-0.41437794069373013	1.0	0.6516030200240727	0.5086989823831929	0.28963781595360544	0.2327388116861801	0.4078126709705657	-0.045628624575992996	0.08173760805339753	0.020484183611891246	-0.1480468322573586	0.18371813108655213	0.2500273552905132	0.2474012474012474	0.014553014553014552	-0.16402232191705876	0.2292373345004924	-0.057008425429478066	-0.3749863223547434
IFIT2	0.13382208119050223	0.13447860816281867	0.2193894299157457	0.1535178903599956	0.2997045628624576	0.18349928876244667	0.2642521063573695	0.08571558771928936	0.24455629718787614	-0.05569537148484517	-0.03818798555640661	0.2474012474012474	-0.046066309224203954	-0.007550060181639129	0.11653353758616918	0.14498303971988183	-0.04365904365904366	0.6516030200240727	1.0	0.617682459787723	0.24193018929861035	0.35835430572272675	0.3239960608381661	0.276288434183171	0.39424444687602583	0.048088537997969284	0.2519969362074625	0.26447094868147497	0.32049458365247835	0.33865849655323343	0.2927016084910822	0.020242914979757082	0.24258671627092676	-0.01214574898785425	-0.029434292592187328
IFIT3	0.2655651603020024	0.3568224094539884	0.46755662545136234	0.24871430134588027	0.3338439654229128	0.0771419192471824	0.27388116861801065	0.09160783953397462	0.3152423678739468	0.26841011051537367	0.11084363715942663	0.19247182405077143	-0.024182076813655765	-0.06970128022759602	-0.14454535507167085	0.4196301564722617	0.0504431557063136	0.5086989823831929	0.617682459787723	1.0	0.6594813436918701	0.5612211401685085	0.6279680490206806	0.4360433307801728	0.5728197833460991	0.35765165504184443	0.4244446876025823	0.3454426086005033	0.3513513513513513	0.3854907539118066	0.34434839697997593	-0.021337126600284494	0.26731589889484625	0.27234927234927236	-0.12375533428165006
ISG15	0.1038406827880512	0.15111062479483534	0.30495677864098913	-0.09289856658277709	0.028777765619870888	-0.12856986541197066	0.02199365357260094	0.0688170542130222	0.1644600065652697	0.1622715833242149	0.04540978225188752	-0.10646679067731699	0.25374767480030636	-0.21172994857205382	-0.3789254841886421	0.35879199037093773	0.07342159973738921	0.28963781595360544	0.24193018929861035	0.6594813436918701	1.0	0.5218295218295218	0.35419630156472265	0.26053178684757633	0.464711675237991	0.2947750700513334	0.34850640113798004	0.12375533428165006	0.15811357916621074	0.13010176168070903	-0.006455848561111719	-0.09049130101761681	0.06094758726337673	0.306707517233833	-0.033592296750191486
MX1	0.33165554218185794	0.24061713535397744	0.2955465587044534	0.2743188532662217	0.3091147827989933	0.15067294014662436	0.2773826458036984	0.3645413905726976	0.4686508370718897	0.11587701061385274	0.24586935113250902	0.38833570412517776	0.06685633001422475	-0.09355509355509356	0.1465149359886202	0.549622496990918	0.4264142685195317	0.2327388116861801	0.35835430572272675	0.5612211401685085	0.5218295218295218	1.0	0.5655979866506182	0.3988401356822409	0.501039501039501	0.14996175061325728	0.43341722289090706	0.26140715614399823	0.1425757741547215	0.26118831381989277	0.3754240070029544	0.2539665171244119	0.31677426414268517	0.23361418098260203	0.08305066199803042
