cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	inference_unit
GSE238264	U012	Responder	897	1372	0.234054395408687	0.372359265422911	2.52595694122594	7.30114780585603	6.65027904858742	patient; spots nested
GSE238264	U012	Responder	987	691	0	0.251437990865485	-0.973127967459875	7.20340552108309	6.63594655568665	patient; spots nested
GSE238264	U012	Responder	532	690	0.0547711671602041	0.878075849197585	-0.971703286435196	7.45298232946546	6.85118492749374	patient; spots nested
GSE238264	U012	Responder	543	1284	0.0974267233924404	0.66348126553174	-0.592193650992205	9.23288433641108	8.04205641005875	patient; spots nested
GSE238264	U012	Responder	392	976	0	0.552326563664277	-1.55327519864349	7.81520706218909	7.05617528410041	patient; spots nested
GSE238264	U012	Responder	1782	1550	0	0.823606093259075	-1.09387874877611	4.70048036579242	4.54329478227	patient; spots nested
GSE238264	U012	Responder	1391	1131	0	0.469999193231397	-1.41327747400843	7.7484600238997	7.03878354138854	patient; spots nested
GSE238264	U012	Responder	1416	1087	0	0.753759210524751	-1.7285066327791	7.52994337060159	6.84906628263346	patient; spots nested
GSE238264	U012	Responder	1316	471	0.0560378393924841	0.682211446898234	-0.677860662215503	7.40123126441302	6.82654522355659	patient; spots nested
GSE238264	U012	Responder	1657	846	0	0.766811494988551	-1.63039933460921	7.15461535691366	6.58479139238572	patient; spots nested
GSE238264	U012	Responder	1075	1197	0.165216220267474	0.653582831359453	0.688612879850794	8.58185670474196	7.57095858316901	patient; spots nested
GSE238264	U012	Responder	1543	956	0.0870710826849669	0.792420506057712	-0.566540839242412	7.93272102748195	7.0335064842877	patient; spots nested
GSE238264	U012	Responder	1201	1329	0.0585472312958485	0.6756479347316	-0.629322643821936	7.29979736675816	6.68710860786651	patient; spots nested
GSE238264	U012	Responder	1302	1593	0.106911875471142	0.983459096573155	-0.438746714501762	7.86288203464149	7.06902342657826	patient; spots nested
GSE238264	U012	Responder	265	1415	0.137516943885926	0.907431679643633	0.00480430662851441	8.36427508499152	7.45298232946546	patient; spots nested
GSE238264	U012	Responder	910	1130	0.0768116034996393	0.731937287373152	-0.892864938119804	8.83884181343129	7.75061473277041	patient; spots nested
GSE238264	U012	Responder	1479	1329	0	0.26063409656351	-0.762356915708996	6.40357419793482	6.02344759296103	patient; spots nested
GSE238264	U012	Responder	1607	626	0.154898128915578	0.86621691446013	0.289854255671633	8.53895468319775	7.59789795052178	patient; spots nested
GSE238264	U012	Responder	417	1240	0.0558627178747746	0.495403741394822	-1.08020887619101	9.31163262345805	8.04910772132641	patient; spots nested
GSE238264	U012	Responder	848	888	0.167640011404772	0.715993004362489	0.857189858775271	8.00603417874901	7.24136628332232	patient; spots nested
GSE238264	U012	Responder	936	911	0.156767790030781	0.609615664133583	0.962877099476663	7.5569505720129	6.93244789157251	patient; spots nested
GSE238264	U012	Responder	253	865	0.0428584502429744	0.783287913181541	-1.16550369925312	7.96311205897929	7.27447955877387	patient; spots nested
GSE238264	U012	Responder	1291	471	0.25867991535328	0.672603304254799	2.47576200393295	7.57865685059476	6.91572344863131	patient; spots nested
GSE238264	U012	Responder	1392	735	0.0400930333507759	0.701151871922494	-1.40698140361069	8.78247626892454	7.73499619402278	patient; spots nested
GSE238264	U012	Responder	1657	934	0.26246913211109	0.678995967938585	2.47959295351254	7.69120009752286	6.96508034560141	patient; spots nested
GSE238264	U012	Responder	594	1372	0.205311769518521	0.84771933195288	1.01063893711815	8.93221251232921	7.91534816926308	patient; spots nested
GSE238264	U012	Responder	619	1196	0.154145968440002	0.776336335918936	0.333358779945126	8.69801362208393	7.68386398025643	patient; spots nested
GSE238264	U012	Responder	734	778	0.10439912506934	0.552651759996483	-0.00364246904557453	8.34331588140495	7.55433482372575	patient; spots nested
GSE238264	U012	Responder	669	1504	0.0880299209797976	0.799509247617053	-0.49411563901794	7.91132401896335	7.15070145759253	patient; spots nested
GSE238264	U012	Responder	519	800	0.201918609210659	0.746629382833802	1.19493239531948	8.52595469708481	7.5923661285198	patient; spots nested
GSE238264	U012	Responder	1378	1285	0.0454698166485079	0.342604938677521	-0.576966522262239	7.84698098213879	7.06731984865348	patient; spots nested
GSE238264	U012	Responder	468	1152	0.147590957171667	0.787710374607237	0.0572816713443501	9.18317470390341	8.00570067866254	patient; spots nested
GSE238264	U012	Responder	594	1460	0.10488969249017	0.931842163533027	-0.269093943965872	7.54908271081229	6.93439720992856	patient; spots nested
GSE238264	U012	Responder	1051	493	0.0515655478352641	0.417457732530494	-0.458253453859821	7.58578882173203	6.96885037834195	patient; spots nested
GSE238264	U012	Responder	595	800	0.0492101715550859	0.514450913893902	-0.673528070716173	7.68524360797583	6.98933526597456	patient; spots nested
GSE238264	U012	Responder	1631	1242	0	0	0.34253116704386	2.77258872223978	2.70805020110221	patient; spots nested
GSE238264	U012	Responder	1455	757	0.0792162795944351	0.761177889604261	-0.772221521543318	8.47365918939251	7.51207124583547	patient; spots nested
GSE238264	U012	Responder	492	1636	0.0514808585083329	0.669968371996213	-0.814171172633647	7.58933582317062	6.90975328164481	patient; spots nested
GSE238264	U012	Responder	859	1570	0.0631878456961722	0.862102264038992	-0.731181238738248	7.11558212618445	6.57646956904822	patient; spots nested
GSE238264	U012	Responder	506	954	0.121327430235664	0.649594188141459	-0.551340665776419	10.1731329375018	8.5539107743514	patient; spots nested
GSE238264	U012	Responder	341	1592	0.123645777178353	0.508688827874781	0.671326820484454	7.1693500166706	6.62539236800796	patient; spots nested
GSE238264	U012	Responder	379	1394	0.156112934097586	0.527997467843514	0.461775328207006	9.36666012623114	8.11432470915534	patient; spots nested
GSE238264	U012	Responder	745	1636	0.0388621148759098	0.584143657759772	-1.08129547151621	8.14699869738999	7.2868764117507	patient; spots nested
GSE238264	U012	Responder	1631	1418	0	0	0.289043995856148	3.13549421592915	3.09104245335832	patient; spots nested
GSE238264	U012	Responder	1416	1043	0	0.469914965885389	-1.60078669032369	8.30276158070405	7.38956395367764	patient; spots nested
GSE238264	U012	Responder	1088	691	0.149360958371965	0.773495867517996	0.525898164751949	7.900636613018	7.16780918431644	patient; spots nested
