source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	removed_state	removed_cell_n
GSE235863	U002	LOSO_CD4_C06_CXCL13	ALL	1352	19	0.688735150280372	0.0388845663667149	0.255664414050533	0.181479706699905	0.0741847073506281	-1.38777878078145e-17	0.0958786901609088	0.100524273591288	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C06_CXCL13	23
GSE235863	U003	LOSO_CD4_C06_CXCL13	ALL	1646	16	0.722642525164407	0.0706375611053178	0.0993406497476121	0.0502357355297326	0.0491049142178795	-1.38777878078145e-17	0.0550978710479897	0.0599396970651968	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C06_CXCL13	144
GSE235863	U004	LOSO_CD4_C06_CXCL13	ALL	1158	16	1.04795262381747	0.0629482567870447	0.285642239296737	0.171764247317071	0.113877991979666	-2.77555756156289e-17	0.140042294236451	0.151117744387094	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C06_CXCL13	31
GSE235863	U005	LOSO_CD4_C06_CXCL13	ALL	1274	17	1.20680299373999	0.0811282959201484	0.198417408897618	0.219153459967243	-0.0207360510696246	-1.73472347597681e-17	-0.0289196474017685	-0.0319032244552007	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C06_CXCL13	185
GSE235863	U006	LOSO_CD4_C07_CTLA4	ALL	923	15	0.68723834631996	0.0339315870335246	0.158931161611623	0.0978917256292792	0.0610394359823435	6.93889390390723e-18	0.0709700280912427	0.0419104190590528	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C07_CTLA4	109
GSE235863	U001	LOSO_CD4_C07_CTLA4	ALL	2083	19	0.756853925754833	0.0480098698343641	0.262996199160253	0.181875146196897	0.0811210529633568	-2.77555756156289e-17	0.105812999270594	0.115343752669116	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C07_CTLA4	160
GSE235863	U002	LOSO_CD4_C07_CTLA4	ALL	1335	19	0.68615674806515	0.0388900395593403	0.250904124261902	0.183742596791424	0.0671615274704777	0	0.0870876183505534	0.0946395602464773	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C07_CTLA4	40
GSE235863	U003	LOSO_CD4_C07_CTLA4	ALL	979	16	0.740106337485464	0.0782146586310941	0.105902048100147	0.0834065704430388	0.0224954776571077	1.38777878078145e-17	0.0265982056931948	0.0152187536044193	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C07_CTLA4	811
GSE235863	U004	LOSO_CD4_C07_CTLA4	ALL	810	16	0.85652739235572	0.0581852278312205	0.264731395047224	0.116387374692429	0.148344020354795	0	0.172199840920225	0.178811828090466	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C07_CTLA4	379
GSE235863	U005	LOSO_CD4_C07_CTLA4	ALL	1331	17	1.18598893679852	0.0824591318552059	0.191568503241293	0.215542799663044	-0.0239742964217515	-1.38777878078145e-17	-0.0334295170470748	-0.0431763881249852	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C07_CTLA4	128
