source	plot_unit	state	lineage	cell_n	cell_fraction	mean_Xz	mean_Yz	signed_contribution	absolute_contribution	full_patient_eligible
GSE235863	U001	CD4_C04_GZMK	CD4	293	0.13062862238074	-0.387437330642953	-0.588339035688977	0.0297760767327745	0.0297760767327745	True
GSE235863	U001	CD4_C05_GNLY	CD4	6	0.00267498885421311	-0.456310062257423	0.591358132727208	-0.000721826124907319	0.000721826124907319	True
GSE235863	U001	CD4_C06_CXCL13	CD4	67	0.0298707088720464	-0.265800303903894	-0.217014770193857	0.00172301990870877	0.00172301990870877	True
GSE235863	U001	CD4_C07_CTLA4	CD4	160	0.0713330361123495	0.44693656796104	-0.0521869430297337	-0.00166378979652875	0.00166378979652875	True
GSE235863	U001	CD4_C08_FOXP3	CD4	36	0.0160499331252786	-0.360785536835828	-0.701693385966838	0.00406321431039101	0.00406321431039101	True
GSE235863	U001	CD4_C09_MKI67	CD4	13	0.0057958091841284	0.11222203599354	0.269050964869315	0.000174995457792061	0.000174995457792061	True
GSE235863	U001	CD8_C01_LEF1	CD8	30	0.0133749442710655	-0.668311932054775	-1.15601587196994	0.010333203756784	0.010333203756784	True
GSE235863	U001	CD8_C02_GPR183	CD8	5	0.00222915737851092	-0.0406930738020801	-0.501560568215318	4.54971939781522e-05	4.54971939781522e-05	True
GSE235863	U001	CD8_C03_CX3CR1	CD8	53	0.0236290682122158	0.0261591787138538	0.716933634580873	0.000443148880458143	0.000443148880458143	True
GSE235863	U001	CD8_C04_GIMAP4	CD8	5	0.00222915737851092	-0.595573034476238	-0.920663208953523	0.00122229643577147	0.00122229643577147	True
GSE235863	U001	CD8_C05_CCR7	CD8	31	0.0138207757467677	0.00291100783071137	-0.413047090736171	-1.66178701663635e-05	1.66178701663635e-05	True
GSE235863	U001	CD8_C06_IKZF2	CD8	1	0.000445831475702185	-1.1124096920178	0.122833710470442	-6.09190414774087e-05	6.09190414774087e-05	True
GSE235863	U001	CD8_C07_KIR2DL4	CD8	52	0.0231832367365136	0.48640005566822	0.130149347732907	0.00146760668706569	0.00146760668706569	True
GSE235863	U001	CD8_C08_GZMK	CD8	602	0.268390548372715	0.191571665918127	0.241512436687481	0.0124176093541563	0.0124176093541563	True
GSE235863	U001	CD8_C09_LAYN	CD8	331	0.147570218457423	0.330702123153295	0.863150851827145	0.0421233019119789	0.0421233019119789	True
GSE235863	U001	CD8_C10_SLC4A10	CD8	214	0.0954079358002675	0.0644583784387379	0.192725272843788	0.00118522975226849	0.00118522975226849	True
GSE235863	U001	CD8_C11_MKI67	CD8	9	0.00401248328131966	0.686852954638998	0.994037637515545	0.00273955380969652	0.00273955380969652	True
GSE235863	U002	CD4_C01_CCR7	CD4	65	0.0472727272727273	-0.484297072683366	-0.866020373469186	0.0198267080466133	0.0198267080466133	True
GSE235863	U002	CD4_C02_IL7R	CD4	9	0.00654545454545455	-0.564353351620524	-0.844014519129545	0.00311774676667948	0.00311774676667948	True
GSE235863	U002	CD4_C03_CD44	CD4	174	0.126545454545455	-0.359608878275952	-0.590413737022734	0.0268678805628842	0.0268678805628842	True
GSE235863	U002	CD4_C04_GZMK	CD4	402	0.292363636363636	-0.216843617090055	-0.372869279063414	0.0236388639388338	0.0236388639388338	True
GSE235863	U002	CD4_C05_GNLY	CD4	4	0.00290909090909091	0.427736135797254	0.800807876993018	0.000996463903479261	0.000996463903479261	True
GSE235863	U002	CD4_C06_CXCL13	CD4	23	0.0167272727272727	0.0195584450600566	-0.0702811878394198	-2.29931543822507e-05	2.29931543822507e-05	True
GSE235863	U002	CD4_C07_CTLA4	CD4	40	0.0290909090909091	0.0613004492018286	0.187974299613251	0.000335211898318296	0.000335211898318296	True
GSE235863	U002	CD4_C08_FOXP3	CD4	10	0.00727272727272727	-0.560102970227973	-0.913533852688337	0.00372125835850576	0.00372125835850576	True
GSE235863	U002	CD4_C09_MKI67	CD4	2	0.00145454545454545	0.427587760033155	-0.0576619923488201	-3.58626358508813e-05	3.58626358508813e-05	True
