major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD4	CD4_C03_CD44	3	-0.180547366613902	1.7144616	-0.34673598
CD8	CD8_C01_LEF1	10	-0.315116377164177	0.19161564	3.137617
CD8	CD8_C01_LEF1	10	-0.218206965712513	0.7826163	4.8551087
CD4	CD4_C01_CCR7	1	-0.255149205801591	-2.0872679	-2.31479
CD4	CD4_C08_FOXP3	8	0.328595622837634	-3.8823023	3.0708573
CD4	CD4_C08_FOXP3	8	-0.092467138677306	-2.6507025	2.2207813
CD4	CD4_C01_CCR7	1	-0.27640467769024	-1.2593971	0.8227961
CD4	CD4_C01_CCR7	1	-0.0424022467419971	-2.921121	-1.4459866
CD8	CD8_C01_LEF1	10	-0.264751332570881	-0.22592111	2.848442
CD8	CD8_C01_LEF1	10	-0.207672696896406	1.1143221	2.5555542
CD4	CD4_C01_CCR7	1	-0.18367766997667	-2.9386048	-2.4326262
CD4	CD4_C04_GZMK	4	0.091918229351922	1.1107657	2.3296697
CD8	CD8_C01_LEF1	10	-0.164941463053815	0.39482504	2.8960881
CD4	CD4_C01_CCR7	1	-0.45882078955827	-1.7178397	0.17808838
CD4	CD4_C01_CCR7	1	-0.300511034319869	-1.2611398	-0.36574534
CD4	CD4_C08_FOXP3	8	0.0201454255739457	-1.5709286	2.3825116
CD4	CD4_C01_CCR7	1	-0.348175910971984	-2.9017465	-3.4077451
CD8	CD8_C01_LEF1	10	-0.247210148139718	-0.6659246	3.6897764
CD8	CD8_C01_LEF1	10	0.039241847932752	0.034112602	3.4690127
CD8	CD8_C01_LEF1	10	-0.252978392701196	-0.3794656	3.4795625
CD8	CD8_C01_LEF1	10	-0.217470955320161	-0.5639648	2.5124986
CD8	CD8_C01_LEF1	10	0.068505204988236	-0.33819625	4.110215
CD4	CD4_C01_CCR7	1	-0.323130622097961	-3.2576137	-3.0592186
CD4	CD4_C01_CCR7	1	-0.165407653425427	-1.6312757	-2.3708785
CD8	CD8_C01_LEF1	10	0.0913760249142517	0.49717277	4.0906825
CD8	CD8_C01_LEF1	10	-0.301549237603607	1.1905612	3.4618554
CD4	CD4_C03_CD44	3	-0.233105141936965	1.4557115	0.72848505
CD4	CD4_C01_CCR7	1	0.112829583758265	-1.3476701	0.22602794
CD8	CD8_C01_LEF1	10	-0.198306097691706	0.16099647	2.5906298
CD8	CD8_C01_LEF1	10	-0.0890414555153601	0.8395886	5.9701424
CD8	CD8_C01_LEF1	10	-0.0241901988393255	0.98785126	4.7091675
CD4	CD4_C04_GZMK	4	-0.161083683587685	1.8804148	1.967982
CD4	CD4_C01_CCR7	1	-0.0913269813816911	-0.37775943	0.5114853
CD4	CD4_C01_CCR7	1	-0.250325023717489	-0.12258323	-0.61969423
CD4	CD4_C03_CD44	3	-0.0488770146867834	-0.0676116	2.6524134
CD4	CD4_C09_MKI67	9	0.212413080072748	-0.873798	7.7464876
CD8	CD8_C01_LEF1	10	0.202381444227114	0.6592017	2.9417732
CD8	CD8_C01_LEF1	10	-0.232115928842105	0.17558582	2.847874
CD4	CD4_C01_CCR7	1	-0.305600006670157	-2.2771409	-1.1424061
CD4	CD4_C01_CCR7	1	-0.23245694221762	-2.904592	-3.1420827
CD8	CD8_C01_LEF1	10	-0.338992787986477	2.336625	5.565533
CD8	CD8_C01_LEF1	10	-0.183184439453449	-0.045221284	3.542465
CD4	CD4_C01_CCR7	1	0.146529401947873	0.9542654	2.8883371
CD8	CD8_C09_LAYN	18	0.566503538667524	9.098511	7.4737415
CD8	CD8_C01_LEF1	10	-0.101960539385697	-0.5848717	3.3319337
CD4	CD4_C02_IL7R	2	-0.139670475695919	-2.0676615	-0.68265
