cohort	n	full_g	residual_g	delta_g	retained_fraction	refit_intercept	refit_broad_immune_beta	residual_model_refit
ERP117672	34	0.9190462138961564	1.005512997947478	0.08646678405132158	1.0940831731244056	0.0631849287736564	1.079730997347779	True
ERP117672	34	0.8381974023317224	1.0008130753602507	0.1626156730285283	1.1940064149282248	0.0656250973244304	1.077327914752124	True
ERP117672	34	0.8456303080857894	0.9988152256731159	0.15318491758732644	1.1811488024052537	0.0658832970679095	1.0783229126456884	True
ERP117672	34	0.8334152479542936	1.006544859380063	0.17312961142576944	1.207735113859189	0.0624792441637395	1.0808772708325287	True
ERP117672	34	0.874138685489825	1.0572196959867879	0.1830810104969629	1.2094416063903786	0.0523859056246115	1.080466118039919	True
ERP117672	34	1.2720987645231154	1.3741098954969617	0.10201113097384629	1.0801912035596453	0.0712361721138783	1.071928546878546	True
ERP117672	34	0.8501609385709686	1.0094883868732956	0.15932744830232692	1.1874085729816517	0.0619397111595074	1.0801470470844503	True
ERP117672	34	0.851343498262185	1.0171868048950998	0.1658433066329148	1.1948018713614943	0.0596686816383008	1.0813133049540005	True
ERP117672	34	1.0528695415821672	0.9021083393881176	-0.15076120219404954	0.8568092282663076	0.0482328045384257	1.092646717848694	True
ERP117672	34	0.8408612237136345	1.0347247079431738	0.19386348422953936	1.2305534834551508	0.0535970375468482	1.0913410422725176	True
GSE302495	37	0.765817708055088	0.36293897977351447	-0.4028787282815735	0.47392346240628713	0.0056638590581233	1.0864126702130736	True
GSE302495	37	0.7580264299561601	0.34659194174205005	-0.41143448821411005	0.4572293630475324	0.0099974134180258	1.0895480078836408	True
GSE302495	37	0.7424319122467787	0.2567400029617971	-0.4856919092849816	0.3458094927315822	-0.0194181715573348	1.088719487818847	True
GSE302495	37	0.7844584085757236	0.44012090258206926	-0.3443375059936543	0.5610506532540845	-0.0122857594773655	1.0796357392090885	True
GSE302495	37	0.7450679426475576	0.3457738292337179	-0.3992941134138397	0.46408362169633793	0.0114459262580561	1.0871053003185696	True
GSE302495	37	0.6374788213352306	0.32730161096196375	-0.31017721037326684	0.513431348631182	-0.0153941514847616	1.0555196448311226	True
GSE302495	37	0.8604321981630323	0.4578275693906389	-0.4026046287723934	0.5320902336849684	-0.0118103510440453	1.063770838843486	True
GSE302495	37	0.7558115929486379	0.3605110312517365	-0.39530056169690136	0.47698531567275854	-0.0060366657863162	1.0815245226949362	True
GSE302495	37	0.8660855624564671	0.4751566367512342	-0.39092892570523285	0.5486255138621104	0.007682968879021	1.0786272708065068	True
GSE302495	37	0.7049853886657017	0.3683067769046929	-0.33667861176100883	0.5224317877023986	0.0268590623105539	1.044740177125029	True
GSE302495	37	0.8887976665721953	0.4745813894863257	-0.41421627708586956	0.533958860756951	-0.0135015567562803	1.0570617696257307	True
GSE302495	37	0.8037125651839232	0.44864826201589825	-0.35506430316802495	0.5582197933078583	0.0053167797636979	1.0829728869129995	True
GSE302495	37	0.7101174010320367	0.35857171210360156	-0.35154568892843513	0.5049470856262326	0.0168330983154703	1.0664300399699558	True
GSE302495	37	0.752437257348358	0.36362041568080755	-0.38881684166755043	0.48325679268226507	0.0061461077739767	1.0846934603991023	True
GSE302495	37	0.7890602075085729	0.34984149307031775	-0.4392187144382551	0.4433647644898084	0.0075662707164357	1.0924134581920062	True
GSE302495	37	0.7437553133647764	0.3405542804258445	-0.4032010329389319	0.45788483699721677	0.0129631359994381	1.0881596890448495	True
GSE302495	37	0.7218818501546772	0.361286723318846	-0.3605951268358312	0.5004790233213833	0.0103850029276936	1.0768830980834474	True
GSE302495	37	0.7409910969537582	0.3964691937892022	-0.344521903164556	0.5350525740715397	-0.0033624277291873	1.0840496289053176	True
GSE302495	37	0.7159934907390082	0.36577093588124737	-0.3502225548577608	0.5108579066881169	0.0102107782168906	1.0736279690973145	True
GSE302495	37	0.7396071300174735	0.3784963922635182	-0.36111073775395525	0.5117533037500276	0.0024900684319401	1.0819167435595431	True
GSE302495	37	0.8090587105647538	0.37815157649773956	-0.4309071340670142	0.46739695347173926	0.001562350606514	1.08467647704027	True
GSE302495	37	0.6919334216095517	0.3333697514831918	-0.3585636701263599	0.48179454998389665	-0.0114293386734156	1.0723386338360072	True
GSE302495	37	0.830018737583771	0.48762169343066925	-0.34239704415310174	0.5874827535221219	0.0096106188285381	1.0824321135005883	True
GSE302495	37	0.7051044361660792	0.38660669805018955	-0.31849773811588966	0.548297072349051	-0.001080229403162	1.085229320246777	True
GSE302495	37	0.7415740029628057	0.3581499670685496	-0.3834240358942561	0.4829591728372832	-0.0065765152397111	1.0802655850139768	True
GSE302495	37	0.6630509554598952	0.3668810908845235	-0.29616986457537176	0.5533226185158772	-0.0070094199498902	1.0709921192714145	True
GSE302495	37	0.802216164816512	0.4838404013209814	-0.31837576349553065	0.603129708102614	0.0096751521040768	1.0856749983482032	True
GSE302495	37	0.7234946001206847	0.4233958746028628	-0.30009872551782185	0.5852094466665502	-0.0185703976943375	1.1169315497058832	True
GSE302495	37	0.7106210716779446	0.40179185755607505	-0.3088292141218696	0.5654094334795748	-0.0142955023785461	1.116588654936708	True
